Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
445¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":65,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿Program
446¿VariableDeclarator¿¿774¿v47¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿VariableDeclarator
447¿CallExpression¿¿774¿¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿CallExpression
448¿Identifier¿¿774¿require¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿Identifier
449¿Literal¿string¿774¿¿'electron'¿¿{"start":{"line":1,"column":48},"end":{"line":1,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿Literal
450¿VariableDeclarator¿¿774¿app¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿VariableDeclarator
451¿MemberExpression¿¿774¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿MemberExpression
452¿Identifier¿¿774¿v47¿¿¿¿¿Identifier
453¿Identifier¿¿774¿app¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿Identifier
454¿VariableDeclarator¿¿774¿BrowserWindow¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿VariableDeclarator
455¿MemberExpression¿¿774¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Learn-Python/main.js"}¿¿MemberExpression
