Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
443¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":56,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿Program
444¿VariableDeclarator¿¿788¿v44¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿VariableDeclarator
445¿CallExpression¿¿788¿¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿CallExpression
446¿Identifier¿¿788¿require¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿Identifier
447¿Literal¿string¿788¿¿'child_process'¿¿{"start":{"line":1,"column":29},"end":{"line":1,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿Literal
448¿VariableDeclarator¿¿788¿execFile¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿VariableDeclarator
449¿MemberExpression¿¿788¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿MemberExpression
450¿Identifier¿¿788¿v44¿¿¿¿¿Identifier
451¿Identifier¿¿788¿execFile¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿Identifier
452¿VariableDeclarator¿¿788¿v45¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿VariableDeclarator
453¿CallExpression¿¿788¿¿¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿CallExpression
454¿Identifier¿¿788¿require¿¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿Identifier
455¿Literal¿string¿788¿¿'util'¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿Literal
456¿VariableDeclarator¿¿788¿promisify¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿VariableDeclarator
457¿MemberExpression¿¿788¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿MemberExpression
458¿Identifier¿¿788¿v45¿¿¿¿¿Identifier
459¿Identifier¿¿788¿promisify¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿Identifier
460¿VariableDeclarator¿¿788¿execFileAsync¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/aoi/gitClone.js"}¿¿VariableDeclarator
