Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1062¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":138,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Program
1063¿ExpressionStatement¿¿1822¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿ExpressionStatement
1064¿Literal¿string¿1822¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1065¿VariableDeclarator¿¿1822¿v93¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1066¿CallExpression¿¿1822¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿CallExpression
1067¿Identifier¿¿1822¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1068¿Literal¿string¿1822¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1069¿VariableDeclarator¿¿1822¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1070¿MemberExpression¿¿1822¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿MemberExpression
1071¿Identifier¿¿1822¿v93¿¿¿¿¿Identifier
1072¿Identifier¿¿1822¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1073¿VariableDeclarator¿¿1822¿parseStats¿¿¿{"start":{"line":5,"column":0},"end":{"line":53,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1074¿FunctionExpression¿¿1822¿anon¿¿¿{"start":{"line":5,"column":0},"end":{"line":53,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿FunctionExpression
1075¿Identifier¿¿0¿stderr¿¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1076¿VariableDeclarator¿¿1824¿lines¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1077¿ArrayExpression¿¿1824¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿ArrayExpression
1078¿VariableDeclarator¿¿1824¿items¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1079¿ArrayExpression¿¿1824¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿ArrayExpression
1080¿VariableDeclarator¿¿1824¿stats¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1081¿ObjectExpression¿¿1824¿¿¿¿¿¿ObjectExpression
1082¿VariableDeclarator¿¿1824¿v94¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1083¿ObjectExpression¿¿1824¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿ObjectExpression
1084¿Property¿¿1824¿¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1085¿Identifier¿¿1824¿index¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1086¿Literal¿number¿1824¿¿1¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1087¿Property¿¿1824¿¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1088¿Identifier¿¿1824¿name¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1089¿Literal¿string¿1824¿¿'totalSize'¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1090¿Property¿¿1824¿¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1091¿Identifier¿¿1824¿val¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1092¿Literal¿number¿1824¿¿0¿¿{"start":{"line":10,"column":40},"end":{"line":10,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1093¿VariableDeclarator¿¿1824¿v95¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1094¿ObjectExpression¿¿1824¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿ObjectExpression
1095¿Property¿¿1824¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1096¿Identifier¿¿1824¿index¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1097¿Literal¿number¿1824¿¿3¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1098¿Property¿¿1824¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1099¿Identifier¿¿1824¿name¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1100¿Literal¿string¿1824¿¿'received'¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1101¿Property¿¿1824¿¿¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1102¿Identifier¿¿1824¿val¿¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1103¿Literal¿number¿1824¿¿0¿¿{"start":{"line":11,"column":39},"end":{"line":11,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1104¿VariableDeclarator¿¿1824¿v96¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1105¿ObjectExpression¿¿1824¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿ObjectExpression
1106¿Property¿¿1824¿¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1107¿Identifier¿¿1824¿index¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1108¿Literal¿number¿1824¿¿5¿¿{"start":{"line":12,"column":12},"end":{"line":12,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1109¿Property¿¿1824¿¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1110¿Identifier¿¿1824¿name¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1111¿Literal¿string¿1824¿¿'xferd'¿¿{"start":{"line":12,"column":22},"end":{"line":12,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1112¿Property¿¿1824¿¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1113¿Identifier¿¿1824¿val¿¿¿{"start":{"line":12,"column":31},"end":{"line":12,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1114¿Literal¿number¿1824¿¿0¿¿{"start":{"line":12,"column":36},"end":{"line":12,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1115¿VariableDeclarator¿¿1824¿v97¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿VariableDeclarator
1116¿ObjectExpression¿¿1824¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿ObjectExpression
1117¿Property¿¿1824¿¿¿¿{"start":{"line":13,"column":5},"end":{"line":13,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1118¿Identifier¿¿1824¿index¿¿¿{"start":{"line":13,"column":5},"end":{"line":13,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
1119¿Literal¿number¿1824¿¿6¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Literal
1120¿Property¿¿1824¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Property
1121¿Identifier¿¿1824¿name¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/curling_0.2.0/curling_1.1.0.js"}¿¿Identifier
