Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
854¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":113,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Program
855¿VariableDeclarator¿¿1449¿inquirer¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
856¿CallExpression¿¿1449¿¿¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
857¿Identifier¿¿1449¿require¿¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
858¿Literal¿string¿1449¿¿'inquirer'¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
859¿VariableDeclarator¿¿1449¿fs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
860¿CallExpression¿¿1449¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
861¿Identifier¿¿1449¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
862¿Literal¿string¿1449¿¿'fs-extra'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
863¿VariableDeclarator¿¿1449¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
864¿CallExpression¿¿1449¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
865¿Identifier¿¿1449¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
866¿Literal¿string¿1449¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
867¿VariableDeclarator¿¿1449¿v78¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
868¿CallExpression¿¿1449¿¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
869¿Identifier¿¿1449¿require¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
870¿Literal¿string¿1449¿¿'child_process'¿¿{"start":{"line":4,"column":32},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
871¿VariableDeclarator¿¿1449¿spawn¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
872¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
873¿Identifier¿¿1449¿v78¿¿¿¿¿Identifier
874¿Identifier¿¿1449¿spawn¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
875¿VariableDeclarator¿¿1449¿exec¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
876¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
877¿Identifier¿¿1449¿v78¿¿¿¿¿Identifier
878¿Identifier¿¿1449¿exec¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
879¿VariableDeclarator¿¿1449¿v79¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
880¿CallExpression¿¿1449¿¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
881¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
882¿Identifier¿¿1449¿process¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
883¿Identifier¿¿1449¿cwd¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
884¿VariableDeclarator¿¿1449¿cwd¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1449¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
886¿MemberExpression¿¿1449¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿MemberExpression
887¿Identifier¿¿1449¿path¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
888¿Identifier¿¿1449¿resolve¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
889¿Identifier¿¿1449¿v79¿¿¿¿¿Identifier
890¿VariableDeclarator¿¿1449¿shellescape¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
891¿CallExpression¿¿1449¿¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿CallExpression
892¿Identifier¿¿1449¿require¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Identifier
893¿Literal¿string¿1449¿¿'shell-escape'¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿Literal
894¿VariableDeclarator¿¿1449¿v80¿¿¿{"start":{"line":8,"column":17},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ezbake/filesystem.js"}¿¿VariableDeclarator
895¿ObjectExpression¿¿1449¿¿¿¿¿¿ObjectExpression
