Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
586¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":132,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Program
587¿VariableDeclarator¿¿1016¿v49¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
588¿CallExpression¿¿1016¿¿¿¿{"start":{"line":1,"column":26},"end":{"line":1,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿CallExpression
589¿Identifier¿¿1016¿require¿¿¿{"start":{"line":1,"column":26},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
590¿Literal¿string¿1016¿¿'child_process'¿¿{"start":{"line":1,"column":34},"end":{"line":1,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Literal
591¿VariableDeclarator¿¿1016¿spawn¿¿¿{"start":{"line":1,"column":7},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
592¿MemberExpression¿¿1016¿¿¿¿{"start":{"line":1,"column":7},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
593¿Identifier¿¿1016¿v49¿¿¿¿¿Identifier
594¿Identifier¿¿1016¿spawn¿¿¿{"start":{"line":1,"column":7},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿Identifier
595¿VariableDeclarator¿¿1016¿execSync¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿VariableDeclarator
596¿MemberExpression¿¿1016¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/git-cz/cli.js"}¿¿MemberExpression
