Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
252¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":35,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Program
253¿ExpressionStatement¿¿433¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿ExpressionStatement
254¿Literal¿string¿433¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Literal
255¿VariableDeclarator¿¿433¿v22¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿VariableDeclarator
256¿ObjectExpression¿¿433¿¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿ObjectExpression
257¿Property¿¿433¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Property
258¿Identifier¿¿433¿value¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
259¿Literal¿boolean¿433¿¿true¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Literal
260¿VariableDeclarator¿¿433¿v23¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿VariableDeclarator
261¿CallExpression¿¿433¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿CallExpression
262¿MemberExpression¿¿433¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿MemberExpression
263¿Identifier¿¿433¿Object¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
264¿Identifier¿¿433¿defineProperty¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
265¿Identifier¿¿433¿exports¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
266¿Literal¿string¿433¿¿'__esModule'¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Literal
267¿Identifier¿¿433¿v22¿¿¿¿¿Identifier
268¿ExpressionStatement¿¿433¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿ExpressionStatement
269¿Identifier¿¿433¿v23¿¿¿¿¿Identifier
270¿VariableDeclarator¿¿433¿v24¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿VariableDeclarator
271¿UnaryExpression¿void¿433¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿UnaryExpression
272¿Literal¿number¿433¿¿0¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Literal
273¿ExpressionStatement¿¿433¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿ExpressionStatement
274¿AssignmentExpression¿=¿433¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿AssignmentExpression
275¿MemberExpression¿¿433¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿MemberExpression
276¿Identifier¿¿433¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
277¿Identifier¿¿433¿default¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
278¿Identifier¿¿433¿v24¿¿¿¿¿Identifier
279¿VariableDeclarator¿¿433¿v25¿¿¿{"start":{"line":8,"column":35},"end":{"line":8,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿VariableDeclarator
280¿CallExpression¿¿433¿¿¿¿{"start":{"line":8,"column":35},"end":{"line":8,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿CallExpression
281¿Identifier¿¿433¿require¿¿¿{"start":{"line":8,"column":35},"end":{"line":8,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
282¿Literal¿string¿433¿¿'util.promisify'¿¿{"start":{"line":8,"column":43},"end":{"line":8,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Literal
283¿VariableDeclarator¿¿433¿_util¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿VariableDeclarator
284¿CallExpression¿¿433¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿CallExpression
285¿Identifier¿¿433¿_interopRequireDefault¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
286¿Identifier¿¿433¿v25¿¿¿¿¿Identifier
287¿VariableDeclarator¿¿433¿v26¿¿¿{"start":{"line":10,"column":44},"end":{"line":10,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿VariableDeclarator
288¿CallExpression¿¿433¿¿¿¿{"start":{"line":10,"column":44},"end":{"line":10,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿CallExpression
289¿Identifier¿¿433¿require¿¿¿{"start":{"line":10,"column":44},"end":{"line":10,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/git-parse_1.0.4/git-parse.js"}¿¿Identifier
