Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
874¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":114,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Program
875¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
876¿Literal¿string¿1515¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
877¿VariableDeclarator¿¿1515¿Promise¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
878¿CallExpression¿¿1515¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿CallExpression
879¿Identifier¿¿1515¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
880¿Literal¿string¿1515¿¿'bluebird'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
881¿VariableDeclarator¿¿1515¿checkstyle¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
882¿CallExpression¿¿1515¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿CallExpression
883¿Identifier¿¿1515¿require¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
884¿Literal¿string¿1515¿¿'./checkstyle'¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
885¿VariableDeclarator¿¿1515¿dargs¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
886¿CallExpression¿¿1515¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿CallExpression
887¿Identifier¿¿1515¿require¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
888¿Literal¿string¿1515¿¿'dargs'¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
889¿VariableDeclarator¿¿1515¿child_process¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
890¿CallExpression¿¿1515¿¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿CallExpression
891¿Identifier¿¿1515¿require¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Identifier
892¿Literal¿string¿1515¿¿'child_process'¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿Literal
893¿VariableDeclarator¿¿1515¿scssLintCodes¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿VariableDeclarator
894¿ObjectExpression¿¿1515¿¿¿¿¿¿ObjectExpression
895¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-scss-lint/commands.js"}¿¿ExpressionStatement
