Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
547¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":87,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Program
548¿VariableDeclarator¿¿955¿gutil¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
549¿CallExpression¿¿955¿¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
550¿Identifier¿¿955¿require¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
551¿Literal¿string¿955¿¿'gulp-util'¿¿{"start":{"line":1,"column":26},"end":{"line":1,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Literal
552¿VariableDeclarator¿¿955¿PluginError¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
553¿MemberExpression¿¿955¿¿¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿MemberExpression
554¿Identifier¿¿955¿gutil¿¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
555¿Identifier¿¿955¿PluginError¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿Identifier
556¿VariableDeclarator¿¿955¿through¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿VariableDeclarator
557¿CallExpression¿¿955¿¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/gulp-styledocco/index.js"}¿¿CallExpression
