Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
851¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":97,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Program
852¿VariableDeclarator¿¿1513¿sizeParser¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
853¿CallExpression¿¿1513¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿CallExpression
854¿Identifier¿¿1513¿require¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
855¿Literal¿string¿1513¿¿'filesize-parser'¿¿{"start":{"line":3,"column":25},"end":{"line":3,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Literal
856¿VariableDeclarator¿¿1513¿v98¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
857¿CallExpression¿¿1513¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿CallExpression
858¿Identifier¿¿1513¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
859¿Literal¿string¿1513¿¿'child_process'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Literal
860¿VariableDeclarator¿¿1513¿exec¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
861¿MemberExpression¿¿1513¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿MemberExpression
862¿Identifier¿¿1513¿v98¿¿¿¿¿Identifier
863¿Identifier¿¿1513¿exec¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
864¿VariableDeclarator¿¿1513¿child¿¿¿{"start":{"line":4,"column":42},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
865¿VariableDeclarator¿exported¿1513¿v113¿¿¿{"start":{"line":6,"column":0},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
866¿FunctionExpression¿¿1513¿anon¿¿¿{"start":{"line":6,"column":17},"end":{"line":24,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿FunctionExpression
867¿Identifier¿¿0¿path¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
868¿Identifier¿¿0¿opts¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
869¿Identifier¿¿0¿cb¿¿¿{"start":{"line":6,"column":38},"end":{"line":6,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
870¿VariableDeclarator¿¿1515¿v99¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
871¿UnaryExpression¿!¿1515¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿UnaryExpression
872¿Identifier¿¿1515¿cb¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
873¿IfStatement¿¿1515¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿IfStatement
874¿Identifier¿¿1515¿v99¿¿¿¿¿Identifier
875¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿ExpressionStatement
876¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿AssignmentExpression
877¿Identifier¿¿1515¿cb¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
878¿Identifier¿¿1515¿opts¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
879¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿ExpressionStatement
880¿AssignmentExpression¿=¿1515¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿AssignmentExpression
881¿Identifier¿¿1515¿opts¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
882¿ObjectExpression¿¿1515¿¿¿¿¿¿ObjectExpression
883¿BlockStatement¿¿1515¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿BlockStatement
884¿VariableDeclarator¿¿1515¿v100¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1515¿¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿CallExpression
886¿MemberExpression¿¿1515¿¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿MemberExpression
887¿Identifier¿¿1515¿JSON¿¿¿{"start":{"line":12,"column":49},"end":{"line":12,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
888¿Identifier¿¿1515¿stringify¿¿¿{"start":{"line":12,"column":54},"end":{"line":12,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
889¿Identifier¿¿1515¿path¿¿¿{"start":{"line":12,"column":64},"end":{"line":12,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
890¿VariableDeclarator¿¿1515¿v101¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
891¿CallExpression¿¿1515¿¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿CallExpression
892¿MemberExpression¿¿1515¿¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿MemberExpression
893¿Literal¿object¿1515¿¿/;|&|`|\$|\(|\)|\|\||\||!|>|<|\?|\${/g¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Literal
894¿Identifier¿¿1515¿test¿¿¿{"start":{"line":12,"column":44},"end":{"line":12,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
895¿Identifier¿¿1515¿v100¿¿¿¿¿Identifier
896¿IfStatement¿¿1515¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":23,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿IfStatement
897¿Identifier¿¿1515¿v101¿¿¿¿¿Identifier
898¿VariableDeclarator¿¿1515¿v102¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
899¿CallExpression¿¿1515¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿CallExpression
900¿MemberExpression¿¿1515¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿MemberExpression
901¿Identifier¿¿1515¿console¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
902¿Identifier¿¿1515¿log¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
903¿Literal¿string¿1515¿¿'Input Validation failed, Suspicious Characters found'¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":70},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Literal
904¿ExpressionStatement¿¿1515¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿ExpressionStatement
905¿Identifier¿¿1515¿v102¿¿¿¿¿Identifier
906¿BlockStatement¿¿1515¿¿¿¿{"start":{"line":12,"column":72},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿BlockStatement
907¿VariableDeclarator¿¿1515¿v103¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿VariableDeclarator
908¿MemberExpression¿¿1515¿¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿MemberExpression
909¿Identifier¿¿1515¿module¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-metadata_3.0.1/immetadata.js"}¿¿Identifier
