Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1189¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":189,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Program
1190¿VariableDeclarator¿¿2098¿v129¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1191¿CallExpression¿¿2098¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿CallExpression
1192¿Identifier¿¿2098¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1193¿Literal¿string¿2098¿¿'child_process'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Literal
1194¿VariableDeclarator¿¿2098¿exec¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1195¿MemberExpression¿¿2098¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿MemberExpression
1196¿Identifier¿¿2098¿v129¿¿¿¿¿Identifier
1197¿Identifier¿¿2098¿exec¿¿¿{"start":{"line":1,"column":36},"end":{"line":1,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1198¿VariableDeclarator¿¿2098¿aspect¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1199¿CallExpression¿¿2098¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿CallExpression
1200¿Identifier¿¿2098¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1201¿Literal¿string¿2098¿¿'aspectratio'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Literal
1202¿VariableDeclarator¿¿2098¿v130¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1203¿CallExpression¿¿2098¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿CallExpression
1204¿Identifier¿¿2098¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1205¿Literal¿string¿2098¿¿'path'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Literal
1206¿VariableDeclarator¿¿2098¿dirname¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1207¿MemberExpression¿¿2098¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿MemberExpression
1208¿Identifier¿¿2098¿v130¿¿¿¿¿Identifier
1209¿Identifier¿¿2098¿dirname¿¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1210¿VariableDeclarator¿¿2098¿v131¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1211¿CallExpression¿¿2098¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿CallExpression
1212¿Identifier¿¿2098¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1213¿Literal¿string¿2098¿¿'path'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Literal
1214¿VariableDeclarator¿¿2098¿basename¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1215¿MemberExpression¿¿2098¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿MemberExpression
1216¿Identifier¿¿2098¿v131¿¿¿¿¿Identifier
1217¿Identifier¿¿2098¿basename¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1218¿VariableDeclarator¿¿2098¿v132¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1219¿CallExpression¿¿2098¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿CallExpression
1220¿Identifier¿¿2098¿require¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
1221¿Literal¿string¿2098¿¿'path'¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Literal
1222¿VariableDeclarator¿¿2098¿extname¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿VariableDeclarator
1223¿MemberExpression¿¿2098¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿MemberExpression
1224¿Identifier¿¿2098¿v132¿¿¿¿¿Identifier
1225¿Identifier¿¿2098¿extname¿¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/im-resize_2.3.2/imresize.js"}¿¿Identifier
