Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
763¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":116,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Program
764¿VariableDeclarator¿¿1346¿v75¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
765¿CallExpression¿¿1346¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
766¿Identifier¿¿1346¿require¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
767¿Literal¿string¿1346¿¿'child_process'¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Literal
768¿VariableDeclarator¿¿1346¿spawn¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
769¿MemberExpression¿¿1346¿¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
770¿Identifier¿¿1346¿v75¿¿¿¿¿Identifier
771¿Identifier¿¿1346¿spawn¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
772¿VariableDeclarator¿¿1346¿v76¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
773¿ArrayExpression¿¿1346¿¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ArrayExpression
774¿Literal¿string¿1346¿¿'npm'¿¿{"start":{"line":13,"column":34},"end":{"line":13,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Literal
775¿VariableDeclarator¿¿1346¿ALLOWED_COMMANDS¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
776¿NewExpression¿¿1346¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿NewExpression
777¿Identifier¿¿1346¿Set¿¿¿{"start":{"line":13,"column":29},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
778¿Identifier¿¿1346¿v76¿¿¿¿¿Identifier
779¿VariableDeclarator¿¿1346¿runCommand¿¿¿{"start":{"line":15,"column":0},"end":{"line":35,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
780¿FunctionExpression¿¿1346¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":35,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿FunctionExpression
781¿Identifier¿¿0¿command¿¿¿{"start":{"line":15,"column":20},"end":{"line":15,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
782¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":15,"column":29},"end":{"line":15,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿AssignmentPattern
783¿VariableDeclarator¿¿1348¿v77¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
784¿CallExpression¿¿1348¿¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
785¿MemberExpression¿¿1348¿¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
786¿Identifier¿¿1348¿ALLOWED_COMMANDS¿¿¿{"start":{"line":17,"column":7},"end":{"line":17,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
787¿Identifier¿¿1348¿has¿¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
788¿Identifier¿¿1348¿command¿¿¿{"start":{"line":17,"column":28},"end":{"line":17,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
789¿VariableDeclarator¿¿1348¿v78¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
790¿UnaryExpression¿!¿1348¿¿¿¿{"start":{"line":17,"column":6},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿UnaryExpression
791¿Identifier¿¿1348¿v77¿¿¿¿¿Identifier
792¿IfStatement¿¿1348¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿IfStatement
793¿Identifier¿¿1348¿v78¿¿¿¿¿Identifier
794¿VariableDeclarator¿¿1348¿v79¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
795¿CallExpression¿¿1348¿¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
796¿MemberExpression¿¿1348¿¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
797¿Identifier¿¿1348¿Array¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
798¿Identifier¿¿1348¿from¿¿¿{"start":{"line":19,"column":70},"end":{"line":19,"column":74},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
799¿Identifier¿¿1348¿ALLOWED_COMMANDS¿¿¿{"start":{"line":19,"column":75},"end":{"line":19,"column":91},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
800¿VariableDeclarator¿¿1348¿v80¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":103},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
801¿CallExpression¿¿1348¿¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":103},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
802¿MemberExpression¿¿1348¿¿¿¿{"start":{"line":19,"column":64},"end":{"line":19,"column":97},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
803¿Identifier¿¿1348¿v79¿¿¿¿¿Identifier
804¿Identifier¿¿1348¿join¿¿¿{"start":{"line":19,"column":93},"end":{"line":19,"column":97},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
805¿Literal¿string¿1348¿¿', '¿¿{"start":{"line":19,"column":98},"end":{"line":19,"column":102},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Literal
806¿VariableDeclarator¿¿1348¿v81¿¿¿{"start":{"line":18,"column":10},"end":{"line":20,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
807¿NewExpression¿¿1348¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":20,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿NewExpression
808¿Identifier¿¿1348¿Error¿¿¿{"start":{"line":18,"column":14},"end":{"line":18,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
809¿TemplateLiteral¿¿1348¿¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":105},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿TemplateLiteral
810¿Identifier¿¿1348¿command¿¿¿{"start":{"line":19,"column":18},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
811¿Identifier¿¿1348¿v80¿¿¿¿¿Identifier
812¿ThrowStatement¿¿1348¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":20,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ThrowStatement
813¿Identifier¿¿1348¿v81¿¿¿¿¿Identifier
814¿BlockStatement¿¿1348¿¿¿¿{"start":{"line":17,"column":38},"end":{"line":21,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿BlockStatement
815¿VariableDeclarator¿¿1348¿v88¿¿¿{"start":{"line":23,"column":21},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
816¿ArrowFunctionExpression¿¿1348¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":34,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿ArrowFunctionExpression
817¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":23,"column":22},"end":{"line":23,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
818¿Identifier¿¿0¿reject¿¿¿{"start":{"line":23,"column":31},"end":{"line":23,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
819¿VariableDeclarator¿¿1351¿v82¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
820¿CallExpression¿¿1351¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿CallExpression
821¿MemberExpression¿¿1351¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿MemberExpression
822¿Identifier¿¿1351¿process¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
823¿Identifier¿¿1351¿cwd¿¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿Identifier
824¿VariableDeclarator¿¿1351¿v83¿¿¿{"start":{"line":24,"column":39},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ksuid/check-api-contract.js"}¿¿VariableDeclarator
