Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
226¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Program
227¿VariableDeclarator¿¿389¿v25¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿VariableDeclarator
228¿CallExpression¿¿389¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿CallExpression
229¿Identifier¿¿389¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Identifier
230¿Literal¿string¿389¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Literal
231¿VariableDeclarator¿¿389¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿VariableDeclarator
232¿MemberExpression¿¿389¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿MemberExpression
233¿Identifier¿¿389¿v25¿¿¿¿¿Identifier
234¿Identifier¿¿389¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Identifier
235¿VariableDeclarator¿¿389¿shq¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿VariableDeclarator
236¿FunctionExpression¿¿389¿anon¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿FunctionExpression
237¿Identifier¿¿0¿s¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Identifier
238¿VariableDeclarator¿¿391¿v26¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿VariableDeclarator
239¿CallExpression¿¿391¿¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿CallExpression
240¿Identifier¿¿391¿String¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Identifier
241¿Identifier¿¿391¿s¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Identifier
242¿VariableDeclarator¿¿391¿v27¿¿¿{"start":{"line":4,"column":53},"end":{"line":4,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿VariableDeclarator
243¿TemplateLiteral¿¿391¿¿¿¿{"start":{"line":4,"column":53},"end":{"line":4,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿TemplateLiteral
244¿VariableDeclarator¿¿391¿v28¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿VariableDeclarator
245¿CallExpression¿¿391¿¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿CallExpression
246¿MemberExpression¿¿391¿¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿MemberExpression
247¿Identifier¿¿391¿v26¿¿¿¿¿Identifier
248¿Identifier¿¿391¿replace¿¿¿{"start":{"line":4,"column":39},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Identifier
249¿Literal¿object¿391¿¿/'/g¿¿{"start":{"line":4,"column":47},"end":{"line":4,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿Literal
250¿Identifier¿¿391¿v27¿¿¿¿¿Identifier
251¿VariableDeclarator¿¿391¿v29¿¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿VariableDeclarator
252¿TemplateLiteral¿¿391¿¿¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿TemplateLiteral
253¿Identifier¿¿391¿v28¿¿¿¿¿Identifier
254¿ReturnStatement¿¿391¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿ReturnStatement
255¿Identifier¿¿391¿v29¿¿¿¿¿Identifier
256¿BlockStatement¿¿391¿¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl.js"}¿¿BlockStatement
