Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
600¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":79,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Program
601¿VariableDeclarator¿¿1025¿v54¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
602¿CallExpression¿¿1025¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
603¿Identifier¿¿1025¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
604¿Literal¿string¿1025¿¿'child_process'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
605¿VariableDeclarator¿¿1025¿execFile¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
606¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
607¿Identifier¿¿1025¿v54¿¿¿¿¿Identifier
608¿Identifier¿¿1025¿execFile¿¿¿{"start":{"line":1,"column":40},"end":{"line":1,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
609¿VariableDeclarator¿¿1025¿v55¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
610¿CallExpression¿¿1025¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿CallExpression
611¿Identifier¿¿1025¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
612¿Literal¿string¿1025¿¿'child_process'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Literal
613¿VariableDeclarator¿¿1025¿exec¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿VariableDeclarator
614¿MemberExpression¿¿1025¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿MemberExpression
615¿Identifier¿¿1025¿v55¿¿¿¿¿Identifier
616¿Identifier¿¿1025¿exec¿¿¿{"start":{"line":2,"column":36},"end":{"line":2,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/node-shell-find/shell_find.js"}¿¿Identifier
