Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
694¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":113,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Program
695¿ExpressionStatement¿¿1185¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿ExpressionStatement
696¿Literal¿string¿1185¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Literal
697¿VariableDeclarator¿¿1185¿childProcess¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿VariableDeclarator
698¿CallExpression¿¿1185¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿CallExpression
699¿Identifier¿¿1185¿require¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
700¿Literal¿string¿1185¿¿'child_process'¿¿{"start":{"line":3,"column":27},"end":{"line":3,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Literal
701¿VariableDeclarator¿¿1185¿spawn¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿VariableDeclarator
702¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿MemberExpression
703¿Identifier¿¿1185¿childProcess¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
704¿Identifier¿¿1185¿spawn¿¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
705¿VariableDeclarator¿¿1185¿exec¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿VariableDeclarator
706¿MemberExpression¿¿1185¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿MemberExpression
707¿Identifier¿¿1185¿childProcess¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
708¿Identifier¿¿1185¿exec¿¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
709¿VariableDeclarator¿exported¿1185¿v83¿¿¿{"start":{"line":7,"column":0},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿VariableDeclarator
710¿FunctionExpression¿¿1185¿anon¿¿¿{"start":{"line":7,"column":17},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿FunctionExpression
711¿Identifier¿¿0¿pid¿¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
712¿Identifier¿¿0¿signal¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
713¿Identifier¿¿0¿callback¿¿¿{"start":{"line":7,"column":40},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/node-tree-kill/index.js"}¿¿Identifier
