Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
186¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Program
187¿VariableDeclarator¿¿312¿v17¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
188¿CallExpression¿¿312¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿CallExpression
189¿Identifier¿¿312¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
190¿Literal¿string¿312¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Literal
191¿VariableDeclarator¿¿312¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
192¿MemberExpression¿¿312¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿MemberExpression
193¿Identifier¿¿312¿v17¿¿¿¿¿Identifier
194¿Identifier¿¿312¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
195¿VariableDeclarator¿¿312¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
196¿CallExpression¿¿312¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿CallExpression
197¿Identifier¿¿312¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
198¿Literal¿string¿312¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Literal
199¿VariableDeclarator¿¿312¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
200¿CallExpression¿¿312¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿CallExpression
201¿Identifier¿¿312¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
202¿Literal¿string¿312¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Literal
203¿VariableDeclarator¿¿312¿shq¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
204¿FunctionExpression¿¿312¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿FunctionExpression
205¿Identifier¿¿0¿s¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
206¿VariableDeclarator¿¿314¿v18¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
207¿CallExpression¿¿314¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿CallExpression
208¿Identifier¿¿314¿String¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
209¿Identifier¿¿314¿s¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
210¿VariableDeclarator¿¿314¿v19¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
211¿TemplateLiteral¿¿314¿¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿TemplateLiteral
212¿VariableDeclarator¿¿314¿v20¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿VariableDeclarator
213¿CallExpression¿¿314¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿CallExpression
214¿MemberExpression¿¿314¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿MemberExpression
215¿Identifier¿¿314¿v18¿¿¿¿¿Identifier
216¿Identifier¿¿314¿replace¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/npm_publish.js"}¿¿Identifier
