Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
764¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":124,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Program
765¿ImportDeclaration¿¿1362¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ImportDeclaration
766¿ImportDeclaration¿¿1362¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ImportDeclaration
767¿ImportDeclaration¿¿1362¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ImportDeclaration
768¿ImportDeclaration¿¿1362¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ImportDeclaration
769¿ImportDeclaration¿¿1362¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ImportDeclaration
770¿ImportDeclaration¿¿1362¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ImportDeclaration
771¿VariableDeclarator¿¿1362¿v83¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿VariableDeclarator
772¿CallExpression¿¿1362¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿CallExpression
773¿MemberExpression¿¿1362¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿MemberExpression
774¿Identifier¿¿1362¿dotenv¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
775¿Identifier¿¿1362¿config¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
776¿ExpressionStatement¿¿1362¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ExpressionStatement
777¿Identifier¿¿1362¿v83¿¿¿¿¿Identifier
778¿VariableDeclarator¿¿1362¿v84¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿VariableDeclarator
779¿MemberExpression¿¿1362¿¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿MemberExpression
780¿Identifier¿¿1362¿process¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
781¿Identifier¿¿1362¿env¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
782¿VariableDeclarator¿¿1362¿v85¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿VariableDeclarator
783¿MemberExpression¿¿1362¿¿¿¿{"start":{"line":10,"column":5},"end":{"line":10,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿MemberExpression
784¿Identifier¿¿1362¿v84¿¿¿¿¿Identifier
785¿Identifier¿¿1362¿npm_lifecycle_event¿¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
786¿VariableDeclarator¿¿1362¿v86¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿VariableDeclarator
787¿UnaryExpression¿!¿1362¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿UnaryExpression
788¿Identifier¿¿1362¿v85¿¿¿¿¿Identifier
789¿IfStatement¿¿1362¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿IfStatement
790¿Identifier¿¿1362¿v86¿¿¿¿¿Identifier
791¿VariableDeclarator¿¿1362¿v87¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿VariableDeclarator
792¿CallExpression¿¿1362¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿CallExpression
793¿MemberExpression¿¿1362¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿MemberExpression
794¿Identifier¿¿1362¿console¿¿¿{"start":{"line":12,"column":2},"end":{"line":12,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
795¿Identifier¿¿1362¿error¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
796¿Literal¿string¿1362¿¿'This script should only be run from a package.json script.'¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Literal
797¿ExpressionStatement¿¿1362¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿ExpressionStatement
798¿Identifier¿¿1362¿v87¿¿¿¿¿Identifier
799¿VariableDeclarator¿¿1362¿v88¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿VariableDeclarator
800¿CallExpression¿¿1362¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿CallExpression
801¿MemberExpression¿¿1362¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿MemberExpression
802¿Identifier¿¿1362¿process¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
803¿Identifier¿¿1362¿exit¿¿¿{"start":{"line":15,"column":10},"end":{"line":15,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Identifier
804¿Literal¿number¿1362¿¿1¿¿{"start":{"line":15,"column":15},"end":{"line":15,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/open-town-meeting/db-file.js"}¿¿Literal
