Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
177¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Program
178¿VariableDeclarator¿¿296¿v16¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
179¿CallExpression¿¿296¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿CallExpression
180¿Identifier¿¿296¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
181¿Literal¿string¿296¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Literal
182¿VariableDeclarator¿¿296¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
183¿MemberExpression¿¿296¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿MemberExpression
184¿Identifier¿¿296¿v16¿¿¿¿¿Identifier
185¿Identifier¿¿296¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
186¿VariableDeclarator¿¿296¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
187¿CallExpression¿¿296¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿CallExpression
188¿Identifier¿¿296¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
189¿Literal¿string¿296¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Literal
190¿VariableDeclarator¿¿296¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
191¿CallExpression¿¿296¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿CallExpression
192¿Identifier¿¿296¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
193¿Literal¿string¿296¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Literal
194¿VariableDeclarator¿¿296¿shq¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
195¿FunctionExpression¿¿296¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿FunctionExpression
196¿Identifier¿¿0¿s¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
197¿VariableDeclarator¿¿298¿v17¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
198¿CallExpression¿¿298¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿CallExpression
199¿Identifier¿¿298¿String¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
200¿Identifier¿¿298¿s¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
201¿VariableDeclarator¿¿298¿v18¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
202¿TemplateLiteral¿¿298¿¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿TemplateLiteral
203¿VariableDeclarator¿¿298¿v19¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
204¿CallExpression¿¿298¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿CallExpression
205¿MemberExpression¿¿298¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿MemberExpression
206¿Identifier¿¿298¿v17¿¿¿¿¿Identifier
207¿Identifier¿¿298¿replace¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Identifier
208¿Literal¿object¿298¿¿/'/g¿¿{"start":{"line":6,"column":47},"end":{"line":6,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿Literal
209¿Identifier¿¿298¿v18¿¿¿¿¿Identifier
210¿VariableDeclarator¿¿298¿v20¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿VariableDeclarator
211¿TemplateLiteral¿¿298¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/openssl_digest_check.js"}¿¿TemplateLiteral
