Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
705¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":51,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Program
706¿VariableDeclarator¿¿1231¿exec¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
707¿CallExpression¿¿1231¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿CallExpression
708¿Identifier¿¿1231¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
709¿Literal¿string¿1231¿¿'./exec'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Literal
710¿VariableDeclarator¿¿1231¿v82¿¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
711¿MemberExpression¿¿1231¿¿¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿MemberExpression
712¿Identifier¿¿1231¿module¿¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
713¿Identifier¿¿1231¿exports¿¿¿{"start":{"line":2,"column":35},"end":{"line":2,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
714¿VariableDeclarator¿¿1231¿v150¿¿¿{"start":{"line":2,"column":28},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿VariableDeclarator
715¿ArrowFunctionExpression¿¿1231¿¿¿¿{"start":{"line":2,"column":65},"end":{"line":25,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿ArrowFunctionExpression
716¿Identifier¿¿0¿port¿¿¿{"start":{"line":2,"column":71},"end":{"line":2,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/portprocesses_1.0.4/index.js"}¿¿Identifier
