Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
753¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":90,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Program
754¿VariableDeclarator¿¿1294¿GitHubApi¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
755¿CallExpression¿¿1294¿¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
756¿Identifier¿¿1294¿require¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
757¿Literal¿string¿1294¿¿'github'¿¿{"start":{"line":1,"column":26},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
758¿VariableDeclarator¿¿1294¿Menu¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
759¿CallExpression¿¿1294¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
760¿Identifier¿¿1294¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
761¿Literal¿string¿1294¿¿'terminal-menu'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
762¿VariableDeclarator¿¿1294¿v77¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
763¿CallExpression¿¿1294¿¿¿¿{"start":{"line":3,"column":25},"end":{"line":3,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
764¿Identifier¿¿1294¿require¿¿¿{"start":{"line":3,"column":25},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
765¿Literal¿string¿1294¿¿'child_process'¿¿{"start":{"line":3,"column":33},"end":{"line":3,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
766¿VariableDeclarator¿¿1294¿execFileSync¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
767¿MemberExpression¿¿1294¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
768¿Identifier¿¿1294¿v77¿¿¿¿¿Identifier
769¿Identifier¿¿1294¿execFileSync¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
770¿VariableDeclarator¿¿1294¿parse¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
771¿CallExpression¿¿1294¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
772¿Identifier¿¿1294¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
773¿Literal¿string¿1294¿¿'parse-github-repo-url'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Literal
774¿VariableDeclarator¿exported¿1294¿Pullit¿¿¿{"start":{"line":6,"column":0},"end":{"line":88,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
775¿FunctionExpression¿¿1294¿Pullit¿¿¿{"start":{"line":7,"column":13},"end":{"line":10,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿FunctionExpression
776¿VariableDeclarator¿¿1296¿v78¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿VariableDeclarator
777¿CallExpression¿¿1296¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿CallExpression
778¿MemberExpression¿¿1296¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿MemberExpression
779¿ThisExpression¿¿1296¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿ThisExpression
780¿Identifier¿¿1296¿init¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/pullit/index.js"}¿¿Identifier
