Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
432¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":78,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Program
433¿ExpressionStatement¿¿745¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿ExpressionStatement
434¿Literal¿string¿745¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Literal
435¿VariableDeclarator¿¿745¿childProcess¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿VariableDeclarator
436¿CallExpression¿¿745¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿CallExpression
437¿Identifier¿¿745¿require¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Identifier
438¿Literal¿string¿745¿¿'child_process'¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Literal
439¿VariableDeclarator¿¿745¿v38¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿VariableDeclarator
440¿CallExpression¿¿745¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿CallExpression
441¿Identifier¿¿745¿require¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Identifier
442¿Literal¿string¿745¿¿'./index'¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Literal
443¿VariableDeclarator¿¿745¿debug¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿VariableDeclarator
444¿MemberExpression¿¿745¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿MemberExpression
445¿Identifier¿¿745¿v38¿¿¿¿¿Identifier
446¿Identifier¿¿745¿debug¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Identifier
447¿VariableDeclarator¿¿745¿v39¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿VariableDeclarator
448¿CallExpression¿¿745¿¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿CallExpression
449¿Identifier¿¿745¿require¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Identifier
450¿Literal¿string¿745¿¿'shescape'¿¿{"start":{"line":5,"column":29},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Literal
451¿VariableDeclarator¿¿745¿quoteAll¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿VariableDeclarator
452¿MemberExpression¿¿745¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿MemberExpression
453¿Identifier¿¿745¿v39¿¿¿¿¿Identifier
454¿Identifier¿¿745¿quoteAll¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-mvn-plugin/sub-process.js"}¿¿Identifier
