Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
280¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":20,"column":89},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿Program
281¿ExpressionStatement¿¿481¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿ExpressionStatement
282¿Literal¿string¿481¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿Literal
283¿VariableDeclarator¿¿481¿http¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿VariableDeclarator
284¿CallExpression¿¿481¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿CallExpression
285¿Identifier¿¿481¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿Identifier
286¿Literal¿string¿481¿¿'http'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿Literal
287¿VariableDeclarator¿¿481¿url¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿VariableDeclarator
288¿CallExpression¿¿481¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿CallExpression
289¿Identifier¿¿481¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿Identifier
290¿Literal¿string¿481¿¿'url'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿Literal
291¿VariableDeclarator¿¿481¿v27¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿VariableDeclarator
292¿ArrayExpression¿¿481¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/sys_runner_http.js"}¿¿ArrayExpression
