Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
179¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿Program
180¿VariableDeclarator¿¿302¿v17¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿VariableDeclarator
181¿CallExpression¿¿302¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿CallExpression
182¿Identifier¿¿302¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿Identifier
183¿Literal¿string¿302¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿Literal
184¿VariableDeclarator¿¿302¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿VariableDeclarator
185¿MemberExpression¿¿302¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿MemberExpression
186¿Identifier¿¿302¿v17¿¿¿¿¿Identifier
187¿Identifier¿¿302¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿Identifier
188¿VariableDeclarator¿¿302¿shq¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/systemctl_control.js"}¿¿VariableDeclarator
