Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
385¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":27,"column":90},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Program
386¿ExpressionStatement¿¿668¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿ExpressionStatement
387¿Literal¿string¿668¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Literal
388¿VariableDeclarator¿¿668¿http¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
389¿CallExpression¿¿668¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿CallExpression
390¿Identifier¿¿668¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
391¿Literal¿string¿668¿¿'http'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Literal
392¿VariableDeclarator¿¿668¿url¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
393¿CallExpression¿¿668¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿CallExpression
394¿Identifier¿¿668¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
395¿Literal¿string¿668¿¿'url'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Literal
396¿VariableDeclarator¿¿668¿path¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
397¿CallExpression¿¿668¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿CallExpression
398¿Identifier¿¿668¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
399¿Literal¿string¿668¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Literal
400¿VariableDeclarator¿¿668¿isSafeName¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
401¿FunctionExpression¿¿668¿anon¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿FunctionExpression
402¿Identifier¿¿0¿p¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
403¿VariableDeclarator¿¿670¿v39¿¿¿{"start":{"line":7,"column":56},"end":{"line":7,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
404¿CallExpression¿¿670¿¿¿¿{"start":{"line":7,"column":56},"end":{"line":7,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿CallExpression
405¿Identifier¿¿670¿String¿¿¿{"start":{"line":7,"column":56},"end":{"line":7,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
406¿Identifier¿¿670¿p¿¿¿{"start":{"line":7,"column":63},"end":{"line":7,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
407¿VariableDeclarator¿¿670¿v40¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
408¿CallExpression¿¿670¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿CallExpression
409¿MemberExpression¿¿670¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿MemberExpression
410¿Literal¿object¿670¿¿/^[\w./-]{1,128}$/¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Literal
411¿Identifier¿¿670¿test¿¿¿{"start":{"line":7,"column":51},"end":{"line":7,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
412¿Identifier¿¿670¿v39¿¿¿¿¿Identifier
413¿ReturnStatement¿¿670¿¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿ReturnStatement
414¿Identifier¿¿670¿v40¿¿¿¿¿Identifier
415¿BlockStatement¿¿670¿¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿BlockStatement
416¿VariableDeclarator¿¿668¿BASE¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
417¿Literal¿string¿668¿¿'/srv/archives'¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Literal
418¿VariableDeclarator¿¿668¿underBase¿¿¿{"start":{"line":10,"column":0},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
419¿FunctionExpression¿¿668¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿FunctionExpression
420¿Identifier¿¿0¿p¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿Identifier
421¿VariableDeclarator¿¿672¿v41¿¿¿{"start":{"line":11,"column":41},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿VariableDeclarator
422¿LogicalExpression¿||¿672¿¿¿¿{"start":{"line":11,"column":41},"end":{"line":11,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/tar_list_http.js"}¿¿LogicalExpression
