Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5936¿Program¿¿-1¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":761,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Program
5937¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5938¿Literal¿string¿10435¿¿'use strict'¿¿{"start":{"line":27,"column":0},"end":{"line":27,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5939¿VariableDeclarator¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿VariableDeclarator
5940¿ObjectExpression¿¿10435¿¿¿¿¿¿ObjectExpression
5941¿ExpressionStatement¿¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿ExpressionStatement
5942¿AssignmentExpression¿=¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿AssignmentExpression
5943¿MemberExpression¿computed¿10435¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":170},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿MemberExpression
5944¿Identifier¿¿10435¿sof¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Identifier
5945¿Literal¿number¿10435¿¿0xc0¿¿{"start":{"line":29,"column":14},"end":{"line":29,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
5946¿Literal¿boolean¿10435¿¿true¿¿{"start":{"line":29,"column":20},"end":{"line":29,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/total.js_3.4.6/image.js"}¿¿Literal
