Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
566¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":80,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿Program
567¿VariableDeclarator¿¿966¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿VariableDeclarator
568¿CallExpression¿¿966¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿CallExpression
569¿Identifier¿¿966¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿Identifier
570¿Literal¿string¿966¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿Literal
571¿VariableDeclarator¿¿966¿router¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿VariableDeclarator
572¿CallExpression¿¿966¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿CallExpression
573¿MemberExpression¿¿966¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿MemberExpression
574¿Identifier¿¿966¿express¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿Identifier
575¿Identifier¿¿966¿Router¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿Identifier
576¿VariableDeclarator¿¿966¿v48¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿VariableDeclarator
577¿CallExpression¿¿966¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿CallExpression
578¿Identifier¿¿966¿require¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿Identifier
579¿Literal¿string¿966¿¿'child_process'¿¿{"start":{"line":3,"column":25},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/trading-sim/terminal.js"}¿¿Literal
