Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
208¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Program
209¿ExpressionStatement¿¿365¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿ExpressionStatement
210¿Literal¿string¿365¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Literal
211¿VariableDeclarator¿¿365¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
212¿CallExpression¿¿365¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿CallExpression
213¿Identifier¿¿365¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
214¿Literal¿string¿365¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Literal
215¿VariableDeclarator¿¿365¿fs¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
216¿CallExpression¿¿365¿¿¿¿{"start":{"line":4,"column":41},"end":{"line":4,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿CallExpression
217¿Identifier¿¿365¿require¿¿¿{"start":{"line":4,"column":41},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
218¿Literal¿string¿365¿¿'fs'¿¿{"start":{"line":4,"column":49},"end":{"line":4,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Literal
219¿VariableDeclarator¿¿365¿underTmp¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":122},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
220¿FunctionExpression¿¿365¿anon¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":122},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿FunctionExpression
221¿Identifier¿¿0¿p¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
222¿VariableDeclarator¿¿367¿v25¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
223¿LogicalExpression¿||¿367¿¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿LogicalExpression
224¿Identifier¿¿367¿p¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
225¿Literal¿string¿367¿¿''¿¿{"start":{"line":5,"column":64},"end":{"line":5,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Literal
226¿VariableDeclarator¿¿367¿v26¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
227¿CallExpression¿¿367¿¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿CallExpression
228¿Identifier¿¿367¿String¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
229¿Identifier¿¿367¿v25¿¿¿¿¿Identifier
230¿VariableDeclarator¿¿367¿full¿¿¿{"start":{"line":5,"column":28},"end":{"line":5,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
231¿CallExpression¿¿367¿¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿CallExpression
232¿MemberExpression¿¿367¿¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿MemberExpression
233¿Identifier¿¿367¿path¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
234¿Identifier¿¿367¿resolve¿¿¿{"start":{"line":5,"column":38},"end":{"line":5,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
235¿Literal¿string¿367¿¿'/tmp'¿¿{"start":{"line":5,"column":46},"end":{"line":5,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Literal
236¿Identifier¿¿367¿v26¿¿¿¿¿Identifier
237¿VariableDeclarator¿¿367¿v27¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
238¿MemberExpression¿¿367¿¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿MemberExpression
239¿Identifier¿¿367¿path¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":104},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
240¿Identifier¿¿367¿sep¿¿¿{"start":{"line":5,"column":105},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
241¿VariableDeclarator¿¿367¿v28¿¿¿{"start":{"line":5,"column":93},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
242¿BinaryExpression¿+¿367¿¿¿¿{"start":{"line":5,"column":93},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿BinaryExpression
243¿Literal¿string¿367¿¿'/tmp'¿¿{"start":{"line":5,"column":93},"end":{"line":5,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Literal
244¿Identifier¿¿367¿v27¿¿¿¿¿Identifier
245¿VariableDeclarator¿¿367¿v29¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":109},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
246¿CallExpression¿¿367¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":109},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿CallExpression
247¿MemberExpression¿¿367¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿MemberExpression
248¿Identifier¿¿367¿full¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":81},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
249¿Identifier¿¿367¿startsWith¿¿¿{"start":{"line":5,"column":82},"end":{"line":5,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿Identifier
250¿Identifier¿¿367¿v28¿¿¿¿¿Identifier
251¿VariableDeclarator¿¿367¿v30¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿VariableDeclarator
252¿IfStatement¿¿367¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/unzip_cli.js"}¿¿IfStatement
253¿Identifier¿¿367¿v29¿¿¿¿¿Identifier
