Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1007¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":95,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Program
1008¿VariableDeclarator¿¿1717¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1009¿CallExpression¿¿1717¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1010¿Identifier¿¿1717¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1011¿Literal¿string¿1717¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1012¿VariableDeclarator¿¿1717¿path¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1013¿CallExpression¿¿1717¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1014¿Identifier¿¿1717¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1015¿Literal¿string¿1717¿¿'path'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1016¿VariableDeclarator¿¿1717¿chalk¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1017¿CallExpression¿¿1717¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1018¿Identifier¿¿1717¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1019¿Literal¿string¿1717¿¿'chalk'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1020¿VariableDeclarator¿¿1717¿utils¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1021¿CallExpression¿¿1717¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1022¿Identifier¿¿1717¿require¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1023¿Literal¿string¿1717¿¿'./utils'¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1024¿VariableDeclarator¿¿1717¿v100¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1025¿CallExpression¿¿1717¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1026¿Identifier¿¿1717¿require¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1027¿Literal¿string¿1717¿¿'child_process'¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1028¿VariableDeclarator¿¿1717¿spawn¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1029¿MemberExpression¿¿1717¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1030¿Identifier¿¿1717¿v100¿¿¿¿¿Identifier
1031¿Identifier¿¿1717¿spawn¿¿¿{"start":{"line":5,"column":37},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1032¿VariableDeclarator¿¿1717¿async¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1033¿CallExpression¿¿1717¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1034¿Identifier¿¿1717¿require¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1035¿Literal¿string¿1717¿¿'async'¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1036¿VariableDeclarator¿¿1717¿lodashStreamer¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1037¿CallExpression¿¿1717¿¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1038¿Identifier¿¿1717¿require¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1039¿Literal¿string¿1717¿¿'lodash-template-stream'¿¿{"start":{"line":7,"column":29},"end":{"line":7,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1040¿VariableDeclarator¿exported¿1717¿v198¿¿¿{"start":{"line":9,"column":0},"end":{"line":95,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1041¿FunctionExpression¿¿1717¿anon¿¿¿{"start":{"line":9,"column":17},"end":{"line":95,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿FunctionExpression
1042¿Identifier¿¿0¿config¿¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1043¿VariableDeclarator¿¿1719¿v101¿¿¿{"start":{"line":11,"column":18},"end":{"line":13,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1044¿FunctionExpression¿¿1719¿anon¿¿¿{"start":{"line":11,"column":18},"end":{"line":13,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿FunctionExpression
1045¿Identifier¿¿0¿c¿¿¿{"start":{"line":11,"column":27},"end":{"line":11,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1046¿ExpressionStatement¿¿1721¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿ExpressionStatement
1047¿AssignmentExpression¿=¿1721¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿AssignmentExpression
1048¿Identifier¿¿1721¿config¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1049¿Identifier¿¿1721¿c¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1050¿BlockStatement¿¿1721¿¿¿¿{"start":{"line":11,"column":30},"end":{"line":13,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿BlockStatement
1051¿VariableDeclarator¿¿1719¿v123¿¿¿{"start":{"line":14,"column":12},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1052¿FunctionExpression¿¿1719¿anon¿¿¿{"start":{"line":14,"column":12},"end":{"line":28,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿FunctionExpression
1053¿Identifier¿¿0¿sourceFile¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1054¿Identifier¿¿0¿callback¿¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1055¿VariableDeclarator¿¿1723¿v102¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1056¿CallExpression¿¿1723¿¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1057¿MemberExpression¿¿1723¿¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1058¿Identifier¿¿1723¿chalk¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1059¿Identifier¿¿1723¿yellow¿¿¿{"start":{"line":15,"column":32},"end":{"line":15,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1060¿Identifier¿¿1723¿sourceFile¿¿¿{"start":{"line":15,"column":39},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1061¿VariableDeclarator¿¿1723¿v103¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1062¿BinaryExpression¿+¿1723¿¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿BinaryExpression
1063¿Literal¿string¿1723¿¿'...'¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Literal
1064¿Identifier¿¿1723¿v102¿¿¿¿¿Identifier
1065¿VariableDeclarator¿¿1723¿v104¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
1066¿CallExpression¿¿1723¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿CallExpression
1067¿MemberExpression¿¿1723¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿MemberExpression
1068¿Identifier¿¿1723¿console¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1069¿Identifier¿¿1723¿log¿¿¿{"start":{"line":15,"column":14},"end":{"line":15,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿Identifier
1070¿Identifier¿¿1723¿v103¿¿¿¿¿Identifier
1071¿ExpressionStatement¿¿1723¿¿¿¿{"start":{"line":15,"column":6},"end":{"line":15,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿ExpressionStatement
1072¿Identifier¿¿1723¿v104¿¿¿¿¿Identifier
1073¿VariableDeclarator¿¿1723¿v105¿¿¿{"start":{"line":16,"column":146},"end":{"line":16,"column":166},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/writex/tasks.js"}¿¿VariableDeclarator
