Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
83¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":8,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿Program
84¿VariableDeclarator¿¿144¿v10¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿VariableDeclarator
85¿CallExpression¿¿144¿¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿CallExpression
86¿Identifier¿¿144¿require¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿Identifier
87¿Literal¿string¿144¿¿'child_process'¿¿{"start":{"line":4,"column":30},"end":{"line":4,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿Literal
88¿VariableDeclarator¿¿144¿spawnSync¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿VariableDeclarator
89¿MemberExpression¿¿144¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿MemberExpression
90¿Identifier¿¿144¿v10¿¿¿¿¿Identifier
91¿Identifier¿¿144¿spawnSync¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿Identifier
92¿VariableDeclarator¿¿144¿v11¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/github/assistant-cli/cli.js"}¿¿VariableDeclarator
