Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1109¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":171,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿Program
1110¿ExpressionStatement¿¿1901¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿ExpressionStatement
1111¿Literal¿string¿1901¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿Literal
1112¿VariableDeclarator¿¿1901¿cp¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿VariableDeclarator
1113¿CallExpression¿¿1901¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿CallExpression
1114¿Identifier¿¿1901¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿Identifier
1115¿Literal¿string¿1901¿¿'child_process'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿Literal
1116¿VariableDeclarator¿¿1901¿fs¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿VariableDeclarator
1117¿CallExpression¿¿1901¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿CallExpression
1118¿Identifier¿¿1901¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/bestzip_2.1.6/bestzip.js"}¿¿Identifier
