Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3589¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":567,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Program
3590¿VariableDeclarator¿¿6425¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3591¿CallExpression¿¿6425¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3592¿Identifier¿¿6425¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3593¿Literal¿string¿6425¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3594¿VariableDeclarator¿¿6425¿path¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3595¿CallExpression¿¿6425¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3596¿Identifier¿¿6425¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
3597¿Literal¿string¿6425¿¿'path'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Literal
3598¿VariableDeclarator¿¿6425¿v473¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿VariableDeclarator
3599¿CallExpression¿¿6425¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿CallExpression
3600¿Identifier¿¿6425¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/codecov_3.6.4/codecov.js"}¿¿Identifier
