Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
344¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":45,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Program
345¿VariableDeclarator¿¿565¿v29¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿VariableDeclarator
346¿CallExpression¿¿565¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿CallExpression
347¿Identifier¿¿565¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Identifier
348¿Literal¿string¿565¿¿'child_process'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Literal
349¿VariableDeclarator¿¿565¿exec¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿VariableDeclarator
350¿MemberExpression¿¿565¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿MemberExpression
351¿Identifier¿¿565¿v29¿¿¿¿¿Identifier
352¿Identifier¿¿565¿exec¿¿¿{"start":{"line":1,"column":38},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Identifier
353¿VariableDeclarator¿¿565¿v30¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿VariableDeclarator
354¿CallExpression¿¿565¿¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿CallExpression
355¿Identifier¿¿565¿require¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Identifier
356¿Literal¿string¿565¿¿'./helpers'¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Literal
357¿VariableDeclarator¿¿565¿parseStdout¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿VariableDeclarator
358¿MemberExpression¿¿565¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿MemberExpression
359¿Identifier¿¿565¿v30¿¿¿¿¿Identifier
360¿Identifier¿¿565¿parseStdout¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Identifier
361¿VariableDeclarator¿¿565¿v31¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿VariableDeclarator
362¿CallExpression¿¿565¿¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿CallExpression
363¿Identifier¿¿565¿require¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Identifier
364¿Literal¿string¿565¿¿'./constants'¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Literal
365¿VariableDeclarator¿¿565¿SEPARATOR¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿VariableDeclarator
366¿MemberExpression¿¿565¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿MemberExpression
367¿Identifier¿¿565¿v31¿¿¿¿¿Identifier
368¿Identifier¿¿565¿SEPARATOR¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/get-git-data/index.js"}¿¿Identifier
