Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
977¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":125,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Program
978¿ExpressionStatement¿¿1683¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿ExpressionStatement
979¿Literal¿string¿1683¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
980¿VariableDeclarator¿¿1683¿v96¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
981¿ObjectExpression¿¿1683¿¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿ObjectExpression
982¿Property¿¿1683¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Property
983¿Identifier¿¿1683¿value¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
984¿Literal¿boolean¿1683¿¿true¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
985¿VariableDeclarator¿¿1683¿v97¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿VariableDeclarator
986¿CallExpression¿¿1683¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿CallExpression
987¿MemberExpression¿¿1683¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿MemberExpression
988¿Identifier¿¿1683¿Object¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
989¿Identifier¿¿1683¿defineProperty¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
990¿Identifier¿¿1683¿exports¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Identifier
991¿Literal¿string¿1683¿¿'__esModule'¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/macfromip_1.1.1/macfromip.js"}¿¿Literal
992¿Identifier¿¿1683¿v96¿¿¿¿¿Identifier
