Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
626¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":62,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Program
627¿VariableDeclarator¿¿1054¿contra¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
628¿CallExpression¿¿1054¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
629¿Identifier¿¿1054¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Identifier
630¿Literal¿string¿1054¿¿'contra'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Literal
631¿VariableDeclarator¿¿1054¿path¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
632¿CallExpression¿¿1054¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
633¿Identifier¿¿1054¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Identifier
634¿Literal¿string¿1054¿¿'path'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Literal
635¿VariableDeclarator¿¿1054¿fUtils¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
636¿CallExpression¿¿1054¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
637¿Identifier¿¿1054¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Identifier
638¿Literal¿string¿1054¿¿'./files'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Literal
639¿VariableDeclarator¿¿1054¿cp¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
640¿CallExpression¿¿1054¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
641¿Identifier¿¿1054¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Identifier
642¿Literal¿string¿1054¿¿'child_process'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Literal
643¿VariableDeclarator¿¿1054¿gitApp¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
644¿Literal¿string¿1054¿¿'git'¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿Literal
645¿VariableDeclarator¿¿1054¿v63¿¿¿{"start":{"line":6,"column":38},"end":{"line":6,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
