Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
526¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":81,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Program
527¿ExpressionStatement¿¿909¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿ExpressionStatement
528¿Literal¿string¿909¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
529¿VariableDeclarator¿¿909¿v56¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
530¿CallExpression¿¿909¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿CallExpression
531¿Identifier¿¿909¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
532¿Literal¿string¿909¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
533¿VariableDeclarator¿¿909¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
534¿MemberExpression¿¿909¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿MemberExpression
535¿Identifier¿¿909¿v56¿¿¿¿¿Identifier
536¿Identifier¿¿909¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
537¿VariableDeclarator¿¿909¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
538¿CallExpression¿¿909¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿CallExpression
539¿Identifier¿¿909¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
540¿Literal¿string¿909¿¿'fs'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
541¿VariableDeclarator¿¿909¿v57¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
542¿MemberExpression¿¿909¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿MemberExpression
543¿Identifier¿¿909¿process¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
544¿Identifier¿¿909¿argv¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
545¿VariableDeclarator¿¿909¿v58¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
546¿MemberExpression¿computed¿909¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿MemberExpression
547¿Identifier¿¿909¿v57¿¿¿¿¿Identifier
548¿Literal¿number¿909¿¿2¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
549¿VariableDeclarator¿¿909¿flag¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
550¿LogicalExpression¿||¿909¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿LogicalExpression
551¿Identifier¿¿909¿v58¿¿¿¿¿Identifier
552¿Literal¿string¿909¿¿'--exists'¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
553¿VariableDeclarator¿¿909¿opencv¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
554¿VariableDeclarator¿¿909¿v59¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
555¿MemberExpression¿¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿MemberExpression
556¿Identifier¿¿909¿process¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
557¿Identifier¿¿909¿env¿¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
558¿VariableDeclarator¿¿909¿v60¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
559¿MemberExpression¿¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿MemberExpression
560¿Identifier¿¿909¿v59¿¿¿¿¿Identifier
561¿Identifier¿¿909¿PKG_CONFIG_OPENCV3¿¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
562¿VariableDeclarator¿¿909¿v61¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
563¿BinaryExpression¿===¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿BinaryExpression
564¿Identifier¿¿909¿v60¿¿¿¿¿Identifier
565¿Literal¿string¿909¿¿'1'¿¿{"start":{"line":11,"column":48},"end":{"line":11,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
566¿IfStatement¿¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿IfStatement
567¿Identifier¿¿909¿v61¿¿¿¿¿Identifier
568¿ExpressionStatement¿¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿ExpressionStatement
569¿AssignmentExpression¿=¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿AssignmentExpression
570¿Identifier¿¿909¿opencv¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
571¿Literal¿string¿909¿¿'opencv3'¿¿{"start":{"line":11,"column":54},"end":{"line":11,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
572¿BlockStatement¿¿909¿¿¿¿¿¿BlockStatement
573¿ExpressionStatement¿¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿ExpressionStatement
574¿AssignmentExpression¿=¿909¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿AssignmentExpression
575¿Identifier¿¿909¿opencv¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
576¿Literal¿string¿909¿¿''opencv >= 2.3.1''¿¿{"start":{"line":11,"column":66},"end":{"line":11,"column":85},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
577¿BlockStatement¿¿909¿¿¿¿¿¿BlockStatement
578¿VariableDeclarator¿¿909¿main¿¿¿{"start":{"line":13,"column":0},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
579¿FunctionExpression¿¿909¿anon¿¿¿{"start":{"line":13,"column":0},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿FunctionExpression
580¿VariableDeclarator¿¿912¿v62¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
581¿BinaryExpression¿+¿912¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿BinaryExpression
582¿Literal¿string¿912¿¿'pkg-config '¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
583¿Identifier¿¿912¿opencv¿¿¿{"start":{"line":15,"column":25},"end":{"line":15,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Identifier
584¿VariableDeclarator¿¿912¿v63¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
585¿BinaryExpression¿+¿912¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿BinaryExpression
586¿Identifier¿¿912¿v62¿¿¿¿¿Identifier
587¿Literal¿string¿912¿¿' '¿¿{"start":{"line":15,"column":34},"end":{"line":15,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿Literal
588¿VariableDeclarator¿¿912¿v64¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿VariableDeclarator
589¿BinaryExpression¿+¿912¿¿¿¿{"start":{"line":15,"column":9},"end":{"line":15,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/node-opencv/find-opencv.js"}¿¿BinaryExpression
590¿Identifier¿¿912¿v63¿¿¿¿¿Identifier
