Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1720¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":183,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Program
1721¿VariableDeclarator¿¿3036¿os¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1722¿CallExpression¿¿3036¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1723¿Identifier¿¿3036¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1724¿Literal¿string¿3036¿¿'os'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1725¿VariableDeclarator¿¿3036¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1726¿CallExpression¿¿3036¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1727¿Identifier¿¿3036¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1728¿Literal¿string¿3036¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1729¿VariableDeclarator¿¿3036¿p¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1730¿CallExpression¿¿3036¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
