Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
657¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":94,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Program
658¿VariableDeclarator¿¿1150¿v63¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿VariableDeclarator
659¿CallExpression¿¿1150¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿CallExpression
660¿Identifier¿¿1150¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Identifier
661¿Literal¿string¿1150¿¿'child_process'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Literal
662¿VariableDeclarator¿¿1150¿exec¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿VariableDeclarator
663¿MemberExpression¿¿1150¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿MemberExpression
664¿Identifier¿¿1150¿v63¿¿¿¿¿Identifier
665¿Identifier¿¿1150¿exec¿¿¿{"start":{"line":5,"column":36},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Identifier
666¿VariableDeclarator¿¿1150¿v64¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿VariableDeclarator
667¿CallExpression¿¿1150¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿CallExpression
668¿Identifier¿¿1150¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Identifier
669¿Literal¿string¿1150¿¿'child_process'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Literal
670¿VariableDeclarator¿¿1150¿spawn¿¿¿{"start":{"line":6,"column":3},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿VariableDeclarator
671¿MemberExpression¿¿1150¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿MemberExpression
672¿Identifier¿¿1150¿v64¿¿¿¿¿Identifier
673¿Identifier¿¿1150¿spawn¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Identifier
674¿VariableDeclarator¿¿1150¿util¿¿¿{"start":{"line":7,"column":3},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿VariableDeclarator
675¿CallExpression¿¿1150¿¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿CallExpression
676¿Identifier¿¿1150¿require¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/pomelo-monitor/processMonitor.js"}¿¿Identifier
