Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
594¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":78,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Program
595¿ImportDeclaration¿¿1032¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿ImportDeclaration
596¿ImportDeclaration¿¿1032¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿ImportDeclaration
597¿ImportDeclaration¿¿1032¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿ImportDeclaration
598¿VariableDeclarator¿¿1032¿debugLogging¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
599¿CallExpression¿¿1032¿¿¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿CallExpression
600¿Identifier¿¿1032¿debugModule¿¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
601¿Literal¿string¿1032¿¿'snyk-sbt-plugin'¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Literal
602¿VariableDeclarator¿¿1032¿v59¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
603¿MemberExpression¿¿1032¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿MemberExpression
604¿Identifier¿¿1032¿process¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
605¿Identifier¿¿1032¿env¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
606¿VariableDeclarator¿¿1032¿v60¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
607¿MemberExpression¿¿1032¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿MemberExpression
608¿Identifier¿¿1032¿v59¿¿¿¿¿Identifier
609¿Identifier¿¿1032¿PROC_TIMEOUT¿¿¿{"start":{"line":9,"column":28},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
610¿VariableDeclarator¿¿1032¿TIMEOUT¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
611¿LogicalExpression¿||¿1032¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿LogicalExpression
612¿Identifier¿¿1032¿v60¿¿¿¿¿Identifier
613¿Literal¿string¿1032¿¿'0'¿¿{"start":{"line":9,"column":44},"end":{"line":9,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Literal
