Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2587¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":251,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿Program
2588¿VariableDeclarator¿¿4585¿v311¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿VariableDeclarator
2589¿CallExpression¿¿4585¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿CallExpression
2590¿Identifier¿¿4585¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿Identifier
2591¿Literal¿string¿4585¿¿'platform-command'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿Literal
2592¿VariableDeclarator¿¿4585¿exec¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿VariableDeclarator
2593¿MemberExpression¿¿4585¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿MemberExpression
2594¿Identifier¿¿4585¿v311¿¿¿¿¿Identifier
2595¿Identifier¿¿4585¿exec¿¿¿{"start":{"line":1,"column":39},"end":{"line":1,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿Identifier
2596¿VariableDeclarator¿¿4585¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿VariableDeclarator
2597¿CallExpression¿¿4585¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/vulcan/spritesheet-js/generator.js"}¿¿CallExpression
