Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
395¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":38,"column":84},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Program
396¿ExpressionStatement¿¿680¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿ExpressionStatement
397¿Literal¿string¿680¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Literal
398¿VariableDeclarator¿¿680¿http¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿VariableDeclarator
399¿CallExpression¿¿680¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿CallExpression
400¿Identifier¿¿680¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Identifier
401¿Literal¿string¿680¿¿'http'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Literal
402¿VariableDeclarator¿¿680¿url¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿VariableDeclarator
403¿CallExpression¿¿680¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿CallExpression
404¿Identifier¿¿680¿require¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Identifier
405¿Literal¿string¿680¿¿'url'¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Literal
406¿VariableDeclarator¿¿680¿path¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿VariableDeclarator
407¿CallExpression¿¿680¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿CallExpression
408¿Identifier¿¿680¿require¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Identifier
409¿Literal¿string¿680¿¿'path'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Literal
410¿VariableDeclarator¿¿680¿v36¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿VariableDeclarator
411¿CallExpression¿¿680¿¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿CallExpression
412¿Identifier¿¿680¿require¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Identifier
413¿Literal¿string¿680¿¿'child_process'¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿Literal
414¿VariableDeclarator¿¿680¿exec¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿VariableDeclarator
415¿MemberExpression¿¿680¿¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/ssh_proxy_http.js"}¿¿MemberExpression
416¿Identifier¿¿680¿v36¿¿¿¿¿Identifier
