Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
563¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":52,"column":82},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿Program
564¿ExpressionStatement¿¿961¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿ExpressionStatement
565¿Literal¿string¿961¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿Literal
566¿VariableDeclarator¿¿961¿v77¿¿¿{"start":{"line":8,"column":1},"end":{"line":36,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿VariableDeclarator
567¿FunctionExpression¿¿961¿installDryRunShim¿¿¿{"start":{"line":8,"column":1},"end":{"line":36,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿FunctionExpression
568¿VariableDeclarator¿¿963¿Module¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿VariableDeclarator
569¿CallExpression¿¿963¿¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿CallExpression
570¿Identifier¿¿963¿require¿¿¿{"start":{"line":9,"column":17},"end":{"line":9,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿Identifier
571¿Literal¿string¿963¿¿'module'¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿Literal
572¿VariableDeclarator¿¿963¿v49¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/synthetic/sys_runner_http.js"}¿¿VariableDeclarator
