Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
640¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":85,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Program
641¿VariableDeclarator¿¿1122¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
642¿CallExpression¿¿1122¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
643¿Identifier¿¿1122¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
644¿Literal¿string¿1122¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
645¿VariableDeclarator¿¿1122¿v55¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
646¿CallExpression¿¿1122¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿CallExpression
647¿Identifier¿¿1122¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Identifier
648¿Literal¿string¿1122¿¿'fs'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿Literal
649¿VariableDeclarator¿¿1122¿fs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿VariableDeclarator
650¿MemberExpression¿¿1122¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/HES-Vault-API/fixed_imagevault.js"}¿¿MemberExpression
