Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
404¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":61,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿Program
405¿ImportDeclaration¿¿716¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿ImportDeclaration
406¿ImportDeclaration¿¿716¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿ImportDeclaration
407¿ImportDeclaration¿¿716¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿ImportDeclaration
408¿ImportDeclaration¿¿716¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿ImportDeclaration
409¿ImportDeclaration¿¿716¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿ImportDeclaration
410¿ImportDeclaration¿¿716¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿ImportDeclaration
411¿VariableDeclarator¿¿716¿router¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿VariableDeclarator
412¿CallExpression¿¿716¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿CallExpression
413¿MemberExpression¿¿716¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ITP/fixed_protected.js"}¿¿MemberExpression
