Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
455¿Program¿¿-1¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":75,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Program
456¿VariableDeclarator¿¿802¿fs¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
457¿CallExpression¿¿802¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿CallExpression
458¿Identifier¿¿802¿require¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Identifier
459¿Literal¿string¿802¿¿'fs'¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Literal
460¿VariableDeclarator¿¿802¿v36¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
461¿CallExpression¿¿802¿¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿CallExpression
462¿Identifier¿¿802¿require¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Identifier
463¿Literal¿string¿802¿¿'argparse'¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Literal
464¿VariableDeclarator¿¿802¿ArgumentParser¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
465¿MemberExpression¿¿802¿¿¿¿{"start":{"line":20,"column":23},"end":{"line":20,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿MemberExpression
466¿Identifier¿¿802¿v36¿¿¿¿¿Identifier
467¿Identifier¿¿802¿ArgumentParser¿¿¿{"start":{"line":20,"column":43},"end":{"line":20,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Identifier
468¿VariableDeclarator¿¿802¿v37¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
469¿CallExpression¿¿802¿¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿CallExpression
470¿Identifier¿¿802¿require¿¿¿{"start":{"line":21,"column":22},"end":{"line":21,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Identifier
471¿Literal¿string¿802¿¿'util'¿¿{"start":{"line":21,"column":30},"end":{"line":21,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Literal
472¿VariableDeclarator¿¿802¿parseArgs¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
473¿MemberExpression¿¿802¿¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿MemberExpression
474¿Identifier¿¿802¿v37¿¿¿¿¿Identifier
475¿Identifier¿¿802¿parseArgs¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Identifier
476¿VariableDeclarator¿¿802¿path¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
477¿CallExpression¿¿802¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿CallExpression
478¿Identifier¿¿802¿require¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Identifier
479¿Literal¿string¿802¿¿'path'¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Literal
480¿VariableDeclarator¿¿802¿sourceMap¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
481¿CallExpression¿¿802¿¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿CallExpression
482¿Identifier¿¿802¿require¿¿¿{"start":{"line":23,"column":18},"end":{"line":23,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Identifier
483¿Literal¿string¿802¿¿'source-map'¿¿{"start":{"line":23,"column":26},"end":{"line":23,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿Literal
484¿VariableDeclarator¿¿802¿v38¿¿¿{"start":{"line":25,"column":34},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿VariableDeclarator
485¿ObjectExpression¿¿802¿¿¿¿{"start":{"line":25,"column":34},"end":{"line":28,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/SeanPesce/jsretk-unsourcemap.js"}¿¿ObjectExpression
