Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
367¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":45,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Program
368¿VariableDeclarator¿¿642¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿VariableDeclarator
369¿CallExpression¿¿642¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿CallExpression
370¿Identifier¿¿642¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
371¿Literal¿string¿642¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Literal
372¿VariableDeclarator¿¿642¿path¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿VariableDeclarator
373¿CallExpression¿¿642¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿CallExpression
374¿Identifier¿¿642¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
375¿Literal¿string¿642¿¿'path'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Literal
376¿VariableDeclarator¿¿642¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿VariableDeclarator
377¿CallExpression¿¿642¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿CallExpression
378¿Identifier¿¿642¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
379¿Literal¿string¿642¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Literal
380¿VariableDeclarator¿¿642¿app¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿VariableDeclarator
381¿CallExpression¿¿642¿¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿CallExpression
382¿Identifier¿¿642¿express¿¿¿{"start":{"line":4,"column":12},"end":{"line":4,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
383¿VariableDeclarator¿¿642¿v33¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿VariableDeclarator
384¿CallExpression¿¿642¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿CallExpression
385¿MemberExpression¿¿642¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿MemberExpression
386¿Identifier¿¿642¿app¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
387¿Identifier¿¿642¿set¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
388¿Literal¿string¿642¿¿'view engine'¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Literal
389¿Literal¿string¿642¿¿'ejs'¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Literal
390¿ExpressionStatement¿¿642¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿ExpressionStatement
391¿Identifier¿¿642¿v33¿¿¿¿¿Identifier
392¿VariableDeclarator¿¿642¿v34¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿VariableDeclarator
393¿CallExpression¿¿642¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿CallExpression
394¿MemberExpression¿¿642¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿MemberExpression
395¿Identifier¿¿642¿path¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
396¿Identifier¿¿642¿join¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
397¿Identifier¿¿642¿__dirname¿¿¿{"start":{"line":8,"column":27},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Identifier
398¿Literal¿string¿642¿¿'public'¿¿{"start":{"line":8,"column":38},"end":{"line":8,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿Literal
399¿VariableDeclarator¿¿642¿v35¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿VariableDeclarator
400¿CallExpression¿¿642¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿CallExpression
401¿MemberExpression¿¿642¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/attack-simulation/fixed_app.js"}¿¿MemberExpression
