Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1847¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":182,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Program
1848¿ExpressionStatement¿¿3213¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿ExpressionStatement
1849¿Literal¿string¿3213¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Literal
1850¿VariableDeclarator¿¿3213¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿VariableDeclarator
1851¿CallExpression¿¿3213¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿CallExpression
1852¿Identifier¿¿3213¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Identifier
1853¿Literal¿string¿3213¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Literal
1854¿VariableDeclarator¿¿3213¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿VariableDeclarator
1855¿CallExpression¿¿3213¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿CallExpression
1856¿Identifier¿¿3213¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Identifier
1857¿Literal¿string¿3213¿¿'graceful-fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Literal
1858¿VariableDeclarator¿¿3213¿BB¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿VariableDeclarator
1859¿CallExpression¿¿3213¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿CallExpression
1860¿Identifier¿¿3213¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Identifier
1861¿Literal¿string¿3213¿¿'bluebird'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Literal
1862¿VariableDeclarator¿¿3213¿gentleFs¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿VariableDeclarator
1863¿CallExpression¿¿3213¿¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿CallExpression
1864¿Identifier¿¿3213¿require¿¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/vulcan/bin-links/index.js"}¿¿Identifier
