Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
286¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":48,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿Program
287¿VariableDeclarator¿¿504¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿VariableDeclarator
288¿CallExpression¿¿504¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿CallExpression
289¿Identifier¿¿504¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿Identifier
290¿Literal¿string¿504¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿Literal
291¿VariableDeclarator¿¿504¿router¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿VariableDeclarator
292¿CallExpression¿¿504¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿CallExpression
293¿MemberExpression¿¿504¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿MemberExpression
294¿Identifier¿¿504¿express¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿Identifier
295¿Identifier¿¿504¿Router¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿Identifier
296¿VariableDeclarator¿¿504¿axios¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/cinema/images.js"}¿¿VariableDeclarator
