Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1319¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":193,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿Program
1320¿VariableDeclarator¿¿2291¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿VariableDeclarator
1321¿CallExpression¿¿2291¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿CallExpression
1322¿Identifier¿¿2291¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿Identifier
1323¿Literal¿string¿2291¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿Literal
1324¿VariableDeclarator¿¿2291¿fs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿VariableDeclarator
1325¿CallExpression¿¿2291¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿CallExpression
1326¿Identifier¿¿2291¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿Identifier
1327¿Literal¿string¿2291¿¿'fs'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿Literal
1328¿VariableDeclarator¿¿2291¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿VariableDeclarator
1329¿CallExpression¿¿2291¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/comebacktwitterembed/fixed_server.js"}¿¿CallExpression
