Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1433¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":151,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Program
1434¿ExpressionStatement¿¿2426¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿ExpressionStatement
1435¿Literal¿string¿2426¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1436¿VariableDeclarator¿¿2426¿path¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1437¿CallExpression¿¿2426¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1438¿Identifier¿¿2426¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1439¿Literal¿string¿2426¿¿'path'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1440¿VariableDeclarator¿¿2426¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1441¿CallExpression¿¿2426¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1442¿Identifier¿¿2426¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1443¿Literal¿string¿2426¿¿'graceful-fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1444¿VariableDeclarator¿¿2426¿decompressTar¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1445¿CallExpression¿¿2426¿¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1446¿Identifier¿¿2426¿require¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1447¿Literal¿string¿2426¿¿'decompress-tar'¿¿{"start":{"line":4,"column":30},"end":{"line":4,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1448¿VariableDeclarator¿¿2426¿decompressTarbz2¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1449¿CallExpression¿¿2426¿¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1450¿Identifier¿¿2426¿require¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1451¿Literal¿string¿2426¿¿'decompress-tarbz2'¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1452¿VariableDeclarator¿¿2426¿decompressTargz¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1453¿CallExpression¿¿2426¿¿¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1454¿Identifier¿¿2426¿require¿¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1455¿Literal¿string¿2426¿¿'decompress-targz'¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1456¿VariableDeclarator¿¿2426¿decompressUnzip¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1457¿CallExpression¿¿2426¿¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1458¿Identifier¿¿2426¿require¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1459¿Literal¿string¿2426¿¿'decompress-unzip'¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1460¿VariableDeclarator¿¿2426¿makeDir¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1461¿CallExpression¿¿2426¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1462¿Identifier¿¿2426¿require¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1463¿Literal¿string¿2426¿¿'make-dir'¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1464¿VariableDeclarator¿¿2426¿pify¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1465¿CallExpression¿¿2426¿¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1466¿Identifier¿¿2426¿require¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1467¿Literal¿string¿2426¿¿'pify'¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
1468¿VariableDeclarator¿¿2426¿stripDirs¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿VariableDeclarator
1469¿CallExpression¿¿2426¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿CallExpression
1470¿Identifier¿¿2426¿require¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Identifier
1471¿Literal¿string¿2426¿¿'strip-dirs'¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/decompress/index.js"}¿¿Literal
