Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1219¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":166,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿Program
1220¿VariableDeclarator¿¿2142¿path¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿VariableDeclarator
1221¿CallExpression¿¿2142¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿CallExpression
1222¿Identifier¿¿2142¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿Identifier
1223¿Literal¿string¿2142¿¿'path'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿Literal
1224¿VariableDeclarator¿¿2142¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿VariableDeclarator
1225¿CallExpression¿¿2142¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿CallExpression
1226¿Identifier¿¿2142¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿Identifier
1227¿Literal¿string¿2142¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿Literal
1228¿VariableDeclarator¿¿2142¿createWatch¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿VariableDeclarator
1229¿CallExpression¿¿2142¿¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿CallExpression
1230¿Identifier¿¿2142¿require¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿Identifier
1231¿Literal¿string¿2142¿¿'./lib/file-watch'¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/devtool/fixed_server.js"}¿¿Literal
