Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
999¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":188,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Program
1000¿VariableDeclarator¿¿1727¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1001¿CallExpression¿¿1727¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿CallExpression
1002¿Identifier¿¿1727¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1003¿Literal¿string¿1727¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Literal
1004¿VariableDeclarator¿¿1727¿parseUrl¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1005¿CallExpression¿¿1727¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿CallExpression
1006¿Identifier¿¿1727¿require¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1007¿Literal¿string¿1727¿¿'parseurl'¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Literal
1008¿VariableDeclarator¿¿1727¿serveStatic¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1009¿CallExpression¿¿1727¿¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿CallExpression
1010¿Identifier¿¿1727¿require¿¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1011¿Literal¿string¿1727¿¿'serve-static'¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Literal
1012¿VariableDeclarator¿¿1727¿mime¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1013¿CallExpression¿¿1727¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿CallExpression
1014¿Identifier¿¿1727¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1015¿Literal¿string¿1727¿¿'mime-types'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Literal
1016¿VariableDeclarator¿¿1727¿v85¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1017¿CallExpression¿¿1727¿¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿CallExpression
1018¿Identifier¿¿1727¿require¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1019¿Literal¿string¿1727¿¿'./util/options'¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Literal
1020¿VariableDeclarator¿¿1727¿sanitizeOptions¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1021¿MemberExpression¿¿1727¿¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿MemberExpression
1022¿Identifier¿¿1727¿v85¿¿¿¿¿Identifier
1023¿Identifier¿¿1727¿sanitizeOptions¿¿¿{"start":{"line":5,"column":48},"end":{"line":5,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1024¿VariableDeclarator¿¿1727¿v86¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1025¿CallExpression¿¿1727¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿CallExpression
1026¿Identifier¿¿1727¿require¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1027¿Literal¿string¿1727¿¿'./util/encoding-selection'¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Literal
1028¿VariableDeclarator¿¿1727¿findEncoding¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1029¿MemberExpression¿¿1727¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿MemberExpression
1030¿Identifier¿¿1727¿v86¿¿¿¿¿Identifier
1031¿Identifier¿¿1727¿findEncoding¿¿¿{"start":{"line":6,"column":56},"end":{"line":6,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1032¿ExpressionStatement¿¿1727¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿ExpressionStatement
1033¿AssignmentExpression¿=¿1727¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿AssignmentExpression
1034¿MemberExpression¿¿1727¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿MemberExpression
1035¿Identifier¿¿1727¿module¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1036¿Identifier¿¿1727¿exports¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1037¿Identifier¿¿1727¿expressStaticGzipMiddleware¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1038¿VariableDeclarator¿exported¿1727¿expressStaticGzipMiddleware¿¿¿{"start":{"line":17,"column":0},"end":{"line":188,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1039¿FunctionExpression¿¿1727¿anon¿¿¿{"start":{"line":17,"column":0},"end":{"line":188,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿FunctionExpression
1040¿Identifier¿¿0¿root¿¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1041¿Identifier¿¿0¿options¿¿¿{"start":{"line":17,"column":43},"end":{"line":17,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1042¿VariableDeclarator¿¿1729¿opts¿¿¿{"start":{"line":18,"column":6},"end":{"line":18,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1043¿CallExpression¿¿1729¿¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿CallExpression
1044¿Identifier¿¿1729¿sanitizeOptions¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1045¿Identifier¿¿1729¿options¿¿¿{"start":{"line":18,"column":29},"end":{"line":18,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1046¿VariableDeclarator¿¿1729¿v87¿¿¿{"start":{"line":19,"column":48},"end":{"line":19,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1047¿MemberExpression¿¿1729¿¿¿¿{"start":{"line":19,"column":48},"end":{"line":19,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿MemberExpression
1048¿Identifier¿¿1729¿opts¿¿¿{"start":{"line":19,"column":48},"end":{"line":19,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1049¿Identifier¿¿1729¿serveStatic¿¿¿{"start":{"line":19,"column":53},"end":{"line":19,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Identifier
1050¿VariableDeclarator¿¿1729¿v88¿¿¿{"start":{"line":19,"column":48},"end":{"line":19,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿VariableDeclarator
1051¿LogicalExpression¿||¿1729¿¿¿¿{"start":{"line":19,"column":48},"end":{"line":19,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿LogicalExpression
1052¿Identifier¿¿1729¿v87¿¿¿¿¿Identifier
1053¿Literal¿object¿1729¿¿null¿¿{"start":{"line":19,"column":68},"end":{"line":19,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express-static-gzip/index.js"}¿¿Literal
