Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
337¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":59,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Program
338¿VariableDeclarator¿¿565¿v24¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿VariableDeclarator
339¿CallExpression¿¿565¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿CallExpression
340¿Identifier¿¿565¿require¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Identifier
341¿Literal¿string¿565¿¿'debug'¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Literal
342¿VariableDeclarator¿¿565¿debug¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿VariableDeclarator
343¿CallExpression¿¿565¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿CallExpression
344¿Identifier¿¿565¿v24¿¿¿¿¿Identifier
345¿Literal¿string¿565¿¿'upward-js:IOAdapter'¿¿{"start":{"line":1,"column":31},"end":{"line":1,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Literal
346¿VariableDeclarator¿¿565¿containsPath¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿VariableDeclarator
347¿CallExpression¿¿565¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿CallExpression
348¿Identifier¿¿565¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Identifier
349¿Literal¿string¿565¿¿'contains-path'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Literal
350¿VariableDeclarator¿¿565¿v25¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿VariableDeclarator
351¿CallExpression¿¿565¿¿¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿CallExpression
352¿Identifier¿¿565¿require¿¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Identifier
353¿Literal¿string¿565¿¿'path'¿¿{"start":{"line":3,"column":37},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿Literal
354¿VariableDeclarator¿¿565¿resolve¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/fallback-studio/IOAdapter.js"}¿¿VariableDeclarator
