Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
564¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":55,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿Program
565¿ExpressionStatement¿¿988¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿ExpressionStatement
566¿Literal¿string¿988¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿Literal
567¿VariableDeclarator¿¿988¿http¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿VariableDeclarator
568¿CallExpression¿¿988¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿CallExpression
569¿Identifier¿¿988¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿Identifier
570¿Literal¿string¿988¿¿'http'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿Literal
571¿VariableDeclarator¿¿988¿url¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿VariableDeclarator
572¿CallExpression¿¿988¿¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿CallExpression
573¿Identifier¿¿988¿require¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿Identifier
574¿Literal¿string¿988¿¿'url'¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿Literal
575¿VariableDeclarator¿¿988¿path¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿VariableDeclarator
576¿CallExpression¿¿988¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿CallExpression
577¿Identifier¿¿988¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/fast-http_0.1.3/index.js"}¿¿Identifier
