Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
483¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":81,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Program
484¿VariableDeclarator¿¿833¿path¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿VariableDeclarator
485¿CallExpression¿¿833¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿CallExpression
486¿Identifier¿¿833¿require¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Identifier
487¿Literal¿string¿833¿¿'path'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Literal
488¿VariableDeclarator¿¿833¿multer¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿VariableDeclarator
489¿CallExpression¿¿833¿¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿CallExpression
490¿Identifier¿¿833¿require¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Identifier
491¿Literal¿string¿833¿¿'multer'¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Literal
492¿VariableDeclarator¿¿833¿v46¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿VariableDeclarator
493¿CallExpression¿¿833¿¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿CallExpression
494¿Identifier¿¿833¿require¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Identifier
495¿Literal¿string¿833¿¿'../utils/logger'¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Literal
496¿VariableDeclarator¿¿833¿logError¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿VariableDeclarator
497¿MemberExpression¿¿833¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿MemberExpression
498¿Identifier¿¿833¿v46¿¿¿¿¿Identifier
499¿Identifier¿¿833¿logError¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Identifier
500¿VariableDeclarator¿¿833¿v47¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿VariableDeclarator
501¿CallExpression¿¿833¿¿¿¿{"start":{"line":13,"column":39},"end":{"line":13,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿CallExpression
502¿Identifier¿¿833¿require¿¿¿{"start":{"line":13,"column":39},"end":{"line":13,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Identifier
503¿Literal¿string¿833¿¿'../config'¿¿{"start":{"line":13,"column":47},"end":{"line":13,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿Literal
504¿VariableDeclarator¿¿833¿uploadDir¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿VariableDeclarator
505¿MemberExpression¿¿833¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/graphcap/upload.js"}¿¿MemberExpression
506¿Identifier¿¿833¿v47¿¿¿¿¿Identifier
