Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1054¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":137,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Program
1055¿VariableDeclarator¿¿1841¿http¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿VariableDeclarator
1056¿CallExpression¿¿1841¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿CallExpression
1057¿Identifier¿¿1841¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Identifier
1058¿Literal¿string¿1841¿¿'http'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Literal
1059¿VariableDeclarator¿¿1841¿url¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿VariableDeclarator
1060¿CallExpression¿¿1841¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿CallExpression
1061¿Identifier¿¿1841¿require¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Identifier
1062¿Literal¿string¿1841¿¿'url'¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Literal
1063¿VariableDeclarator¿¿1841¿fs¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿VariableDeclarator
1064¿CallExpression¿¿1841¿¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿CallExpression
1065¿Identifier¿¿1841¿require¿¿¿{"start":{"line":11,"column":10},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Identifier
1066¿Literal¿string¿1841¿¿'fs'¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Literal
1067¿VariableDeclarator¿¿1841¿config¿¿¿{"start":{"line":13,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿VariableDeclarator
1068¿ObjectExpression¿¿1841¿¿¿¿¿¿ObjectExpression
1069¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿ExpressionStatement
1070¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿AssignmentExpression
1071¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿MemberExpression
1072¿Identifier¿¿1841¿config¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Identifier
1073¿Identifier¿¿1841¿port¿¿¿{"start":{"line":14,"column":1},"end":{"line":14,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Identifier
1074¿Literal¿number¿1841¿¿8080¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Literal
1075¿ExpressionStatement¿¿1841¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿ExpressionStatement
1076¿AssignmentExpression¿=¿1841¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿AssignmentExpression
1077¿MemberExpression¿¿1841¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿MemberExpression
1078¿Identifier¿¿1841¿config¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/http-live-simulator_1.0.0/http-live.js"}¿¿Identifier
