Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
620¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":58,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Program
621¿VariableDeclarator¿¿1090¿options¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
622¿CallExpression¿¿1090¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿CallExpression
623¿Identifier¿¿1090¿require¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
624¿Literal¿string¿1090¿¿'../config/options'¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
625¿VariableDeclarator¿¿1090¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
626¿CallExpression¿¿1090¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿CallExpression
627¿Identifier¿¿1090¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
628¿Literal¿string¿1090¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
629¿VariableDeclarator¿¿1090¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
630¿CallExpression¿¿1090¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿CallExpression
631¿Identifier¿¿1090¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
632¿Literal¿string¿1090¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Literal
633¿VariableDeclarator¿¿1090¿v72¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿VariableDeclarator
634¿MemberExpression¿¿1090¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿MemberExpression
635¿Identifier¿¿1090¿fs¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
636¿Identifier¿¿1090¿existsSync¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/imageserver/fileinfo.js"}¿¿Identifier
