Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
321¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":49,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Program
322¿ImportDeclaration¿¿558¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿ImportDeclaration
323¿ImportDeclaration¿¿558¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿ImportDeclaration
324¿ImportDeclaration¿¿558¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿ImportDeclaration
325¿ExportNamedDeclaration¿¿558¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":34,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿ExportNamedDeclaration
326¿VariableDeclarator¿¿558¿createFilesystemSource¿¿¿{"start":{"line":5,"column":13},"end":{"line":34,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿VariableDeclarator
327¿ArrowFunctionExpression¿¿558¿¿¿¿{"start":{"line":5,"column":38},"end":{"line":34,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿ArrowFunctionExpression
328¿Identifier¿¿0¿options¿¿¿{"start":{"line":5,"column":39},"end":{"line":5,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Identifier
329¿VariableDeclarator¿¿560¿v31¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿VariableDeclarator
330¿MemberExpression¿¿560¿¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿MemberExpression
331¿Identifier¿¿560¿options¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Identifier
332¿Identifier¿¿560¿dir¿¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Identifier
333¿VariableDeclarator¿¿560¿rootDir¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿VariableDeclarator
334¿CallExpression¿¿560¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿CallExpression
335¿Identifier¿¿560¿resolve¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Identifier
336¿Identifier¿¿560¿v31¿¿¿¿¿Identifier
337¿VariableDeclarator¿¿560¿v55¿¿¿{"start":{"line":8,"column":9},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿VariableDeclarator
338¿ArrowFunctionExpression¿¿560¿¿¿¿{"start":{"line":8,"column":9},"end":{"line":33,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿ArrowFunctionExpression
339¿Identifier¿¿0¿id¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Identifier
340¿VariableDeclarator¿¿562¿v32¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿VariableDeclarator
341¿CallExpression¿¿562¿¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿CallExpression
342¿Identifier¿¿562¿join¿¿¿{"start":{"line":9,"column":27},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Identifier
343¿Identifier¿¿562¿rootDir¿¿¿{"start":{"line":9,"column":32},"end":{"line":9,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/ipx/filesystem.js"}¿¿Identifier
