Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
506¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":59,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Program
507¿VariableDeclarator¿¿877¿http¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿VariableDeclarator
508¿CallExpression¿¿877¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿CallExpression
509¿Identifier¿¿877¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
510¿Literal¿string¿877¿¿'http'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Literal
511¿VariableDeclarator¿¿877¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿VariableDeclarator
512¿CallExpression¿¿877¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿CallExpression
513¿Identifier¿¿877¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
514¿Literal¿string¿877¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Literal
515¿VariableDeclarator¿¿877¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿VariableDeclarator
516¿CallExpression¿¿877¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿CallExpression
517¿Identifier¿¿877¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
518¿Literal¿string¿877¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Literal
519¿VariableDeclarator¿¿877¿root¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿VariableDeclarator
520¿CallExpression¿¿877¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿CallExpression
521¿MemberExpression¿¿877¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿MemberExpression
522¿Identifier¿¿877¿path¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
523¿Identifier¿¿877¿resolve¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
524¿Identifier¿¿877¿__dirname¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
525¿Literal¿string¿877¿¿'..'¿¿{"start":{"line":6,"column":37},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Literal
526¿VariableDeclarator¿¿877¿v43¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿VariableDeclarator
527¿MemberExpression¿¿877¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿MemberExpression
528¿Identifier¿¿877¿process¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
529¿Identifier¿¿877¿env¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
530¿VariableDeclarator¿¿877¿v44¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿VariableDeclarator
531¿MemberExpression¿¿877¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿MemberExpression
532¿Identifier¿¿877¿v43¿¿¿¿¿Identifier
533¿Identifier¿¿877¿PORT¿¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Identifier
534¿VariableDeclarator¿¿877¿port¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿VariableDeclarator
535¿LogicalExpression¿||¿877¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿LogicalExpression
536¿Identifier¿¿877¿v44¿¿¿¿¿Identifier
537¿Literal¿number¿877¿¿8080¿¿{"start":{"line":7,"column":33},"end":{"line":7,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/jasmine-etc/serve.js"}¿¿Literal
