Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1363¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":175,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Program
1364¿VariableDeclarator¿¿2332¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿VariableDeclarator
1365¿CallExpression¿¿2332¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿CallExpression
1366¿Identifier¿¿2332¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Identifier
1367¿Literal¿string¿2332¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Literal
1368¿VariableDeclarator¿¿2332¿http¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿VariableDeclarator
1369¿CallExpression¿¿2332¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿CallExpression
1370¿Identifier¿¿2332¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Identifier
1371¿Literal¿string¿2332¿¿'http'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Literal
1372¿VariableDeclarator¿¿2332¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿VariableDeclarator
1373¿CallExpression¿¿2332¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿CallExpression
1374¿Identifier¿¿2332¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Identifier
1375¿Literal¿string¿2332¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Literal
1376¿VariableDeclarator¿¿2332¿url¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿VariableDeclarator
1377¿CallExpression¿¿2332¿¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿CallExpression
1378¿Identifier¿¿2332¿require¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Identifier
1379¿Literal¿string¿2332¿¿'url'¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Literal
1380¿VariableDeclarator¿¿2332¿v106¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿VariableDeclarator
1381¿CallExpression¿¿2332¿¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿CallExpression
1382¿Identifier¿¿2332¿require¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/moedict-webkit/static-here.js"}¿¿Identifier
