Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2131¿Program¿¿-1¿¿¿¿{"start":{"line":15,"column":0},"end":{"line":280,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Program
2132¿VariableDeclarator¿¿3724¿path¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿VariableDeclarator
2133¿CallExpression¿¿3724¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿CallExpression
2134¿Identifier¿¿3724¿require¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Identifier
2135¿Literal¿string¿3724¿¿'path'¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Literal
2136¿VariableDeclarator¿¿3724¿fs¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿VariableDeclarator
2137¿CallExpression¿¿3724¿¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿CallExpression
2138¿Identifier¿¿3724¿require¿¿¿{"start":{"line":16,"column":9},"end":{"line":16,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Identifier
2139¿Literal¿string¿3724¿¿'fs'¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Literal
2140¿VariableDeclarator¿¿3724¿mkdirp¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿VariableDeclarator
2141¿CallExpression¿¿3724¿¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿CallExpression
2142¿Identifier¿¿3724¿require¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Identifier
2143¿Literal¿string¿3724¿¿'mkdirp'¿¿{"start":{"line":17,"column":21},"end":{"line":17,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Literal
2144¿VariableDeclarator¿¿3724¿util¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿VariableDeclarator
2145¿CallExpression¿¿3724¿¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿CallExpression
2146¿Identifier¿¿3724¿require¿¿¿{"start":{"line":18,"column":11},"end":{"line":18,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Identifier
2147¿Literal¿string¿3724¿¿'util'¿¿{"start":{"line":18,"column":19},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Literal
2148¿VariableDeclarator¿¿3724¿_¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿VariableDeclarator
2149¿CallExpression¿¿3724¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿CallExpression
2150¿Identifier¿¿3724¿require¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Identifier
2151¿Literal¿string¿3724¿¿'underscore'¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Literal
2152¿VariableDeclarator¿¿3724¿v214¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿VariableDeclarator
2153¿CallExpression¿¿3724¿¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿CallExpression
2154¿Identifier¿¿3724¿require¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/mpdisco/file-upload.js"}¿¿Identifier
