Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
5201¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":617,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Program
5202¿VariableDeclarator¿¿9164¿fs¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5203¿CallExpression¿¿9164¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5204¿Identifier¿¿9164¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5205¿Literal¿string¿9164¿¿'fs'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5206¿VariableDeclarator¿¿9164¿path¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5207¿CallExpression¿¿9164¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5208¿Identifier¿¿9164¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5209¿Literal¿string¿9164¿¿'path'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5210¿VariableDeclarator¿¿9164¿yaml¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5211¿CallExpression¿¿9164¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5212¿Identifier¿¿9164¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5213¿Literal¿string¿9164¿¿'js-yaml'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5214¿VariableDeclarator¿¿9164¿chalk¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5215¿CallExpression¿¿9164¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5216¿Identifier¿¿9164¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5217¿Literal¿string¿9164¿¿'chalk'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5218¿VariableDeclarator¿¿9164¿v502¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5219¿CallExpression¿¿9164¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5220¿Identifier¿¿9164¿require¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5221¿Literal¿string¿9164¿¿'inquirer'¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5222¿VariableDeclarator¿¿9164¿inquirer¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5223¿MemberExpression¿¿9164¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
5224¿Identifier¿¿9164¿v502¿¿¿¿¿Identifier
5225¿Identifier¿¿9164¿default¿¿¿{"start":{"line":5,"column":37},"end":{"line":5,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5226¿VariableDeclarator¿¿9164¿Ajv¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5227¿CallExpression¿¿9164¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5228¿Identifier¿¿9164¿require¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5229¿Literal¿string¿9164¿¿'ajv'¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5230¿VariableDeclarator¿¿9164¿v503¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5231¿CallExpression¿¿9164¿¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿CallExpression
5232¿Identifier¿¿9164¿require¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Identifier
5233¿Literal¿string¿9164¿¿'glob'¿¿{"start":{"line":7,"column":25},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿Literal
5234¿VariableDeclarator¿¿9164¿glob¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿VariableDeclarator
5235¿MemberExpression¿¿9164¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/multi-agent-claude/index.js"}¿¿MemberExpression
