Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
172¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":59,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿Program
173¿ExpressionStatement¿¿296¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿ExpressionStatement
174¿Literal¿string¿296¿¿'use strict'¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿Literal
175¿VariableDeclarator¿¿296¿truncate¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿VariableDeclarator
176¿CallExpression¿¿296¿¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿CallExpression
177¿Identifier¿¿296¿require¿¿¿{"start":{"line":31,"column":15},"end":{"line":31,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿Identifier
178¿Literal¿string¿296¿¿'truncate-utf8-bytes'¿¿{"start":{"line":31,"column":23},"end":{"line":31,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿Literal
179¿VariableDeclarator¿¿296¿illegalRe¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿VariableDeclarator
180¿Literal¿object¿296¿¿/[\/\?<>\\:\*\|']/g¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿Literal
181¿VariableDeclarator¿¿296¿controlRe¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-sanitize-filename/index.js"}¿¿VariableDeclarator
