Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
805¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":96,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Program
806¿VariableDeclarator¿¿1409¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
807¿CallExpression¿¿1409¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
808¿Identifier¿¿1409¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
809¿Literal¿string¿1409¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
810¿VariableDeclarator¿¿1409¿mongoose¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
811¿CallExpression¿¿1409¿¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
812¿Identifier¿¿1409¿require¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
813¿Literal¿string¿1409¿¿'mongoose'¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
814¿VariableDeclarator¿¿1409¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
815¿CallExpression¿¿1409¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
816¿Identifier¿¿1409¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
817¿Literal¿string¿1409¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
818¿VariableDeclarator¿¿1409¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
819¿CallExpression¿¿1409¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
820¿Identifier¿¿1409¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
821¿Literal¿string¿1409¿¿'fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
822¿VariableDeclarator¿¿1409¿crypto¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
823¿CallExpression¿¿1409¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
824¿Identifier¿¿1409¿require¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
825¿Literal¿string¿1409¿¿'crypto'¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Literal
826¿VariableDeclarator¿¿1409¿router¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿VariableDeclarator
827¿CallExpression¿¿1409¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿CallExpression
828¿MemberExpression¿¿1409¿¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿MemberExpression
829¿Identifier¿¿1409¿express¿¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
830¿Identifier¿¿1409¿Router¿¿¿{"start":{"line":7,"column":23},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/rctf-server/fixed_apiRoute.js"}¿¿Identifier
