Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
648¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":79,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Program
649¿VariableDeclarator¿¿1135¿HTTP¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
650¿CallExpression¿¿1135¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
651¿Identifier¿¿1135¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
652¿Literal¿string¿1135¿¿'http'¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
653¿VariableDeclarator¿¿1135¿FileSystem¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
654¿CallExpression¿¿1135¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
655¿Identifier¿¿1135¿require¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
656¿Literal¿string¿1135¿¿'fs'¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
657¿VariableDeclarator¿¿1135¿v75¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿VariableDeclarator
658¿CallExpression¿¿1135¿¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿CallExpression
659¿Identifier¿¿1135¿require¿¿¿{"start":{"line":3,"column":43},"end":{"line":3,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Identifier
660¿Literal¿string¿1135¿¿'./response.js'¿¿{"start":{"line":3,"column":52},"end":{"line":3,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/serve-here.js_1.1.0/server.js"}¿¿Literal
