Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4596¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":724,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿Program
4597¿VariableDeclarator¿¿8100¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿VariableDeclarator
4598¿CallExpression¿¿8100¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿CallExpression
4599¿Identifier¿¿8100¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿Identifier
4600¿Literal¿string¿8100¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿Literal
4601¿VariableDeclarator¿¿8100¿router¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿VariableDeclarator
4602¿CallExpression¿¿8100¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿CallExpression
4603¿MemberExpression¿¿8100¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿MemberExpression
4604¿Identifier¿¿8100¿express¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿Identifier
4605¿Identifier¿¿8100¿Router¿¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿Identifier
4606¿VariableDeclarator¿¿8100¿multer¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿VariableDeclarator
4607¿CallExpression¿¿8100¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿CallExpression
4608¿Identifier¿¿8100¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿Identifier
4609¿Literal¿string¿8100¿¿'multer'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿Literal
4610¿VariableDeclarator¿¿8100¿v397¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿VariableDeclarator
4611¿CallExpression¿¿8100¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/smtprelay/certificates.js"}¿¿CallExpression
